scenario,condition,replicate,run_dir,frame,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
large_long,rotatable_xlink,4,r0009,40,2.0,actin,120,12.232,8.492,6.468,13.952,1467.8,26.7
large_long,rotatable_xlink,4,r0009,80,4.0,actin,168,10.023,15.952,5.0,13.99,1683.8,55.5
large_long,rotatable_xlink,4,r0009,120,6.0,actin,216,8.777,15.913,5.0,13.99,1895.7,83.5
large_long,rotatable_xlink,4,r0009,160,8.0,actin,264,7.974,14.334,5.0,13.99,2105.0,114.2
large_long,rotatable_xlink,5,r0010,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,5,r0010,20,1.0,actin,96,12.354,0.042,11.89,12.479,1186.0,12.0
large_long,rotatable_xlink,5,r0010,40,2.0,actin,120,12.239,8.549,6.458,13.936,1468.7,24.1
large_long,rotatable_xlink,5,r0010,80,4.0,actin,168,10.047,16.152,5.0,13.974,1687.9,49.6
large_long,rotatable_xlink,5,r0010,120,6.0,actin,216,8.806,16.206,5.0,13.974,1902.1,75.3
large_long,rotatable_xlink,5,r0010,160,8.0,actin,264,8.006,14.687,5.0,13.974,2113.5,103.9
small_long,nomotor_xlink,1,r0011,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,1,r0011,20,1.0,actin,12,11.509,0.037,11.258,11.688,138.1,2.2
small_long,nomotor_xlink,1,r0011,40,2.0,actin,15,11.918,13.529,4.837,14.025,178.8,4.0
small_long,nomotor_xlink,1,r0011,80,4.0,actin,21,9.329,27.78,2.5,14.369,195.9,7.9
small_long,nomotor_xlink,1,r0011,120,6.0,actin,27,7.666,28.225,2.5,14.369,207.0,11.9
small_long,nomotor_xlink,1,r0011,160,8.0,actin,33,6.608,25.674,2.5,14.369,218.1,15.8
small_long,nomotor_xlink,2,r0012,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,2,r0012,20,1.0,actin,12,11.495,0.032,11.321,11.694,137.9,2.4
small_long,nomotor_xlink,2,r0012,40,2.0,actin,15,11.903,13.403,4.854,14.048,178.5,4.6
small_long,nomotor_xlink,2,r0012,80,4.0,actin,21,9.31,27.429,2.5,14.407,195.5,8.9
small_long,nomotor_xlink,2,r0012,120,6.0,actin,27,7.621,27.508,2.5,14.407,205.8,13.6
small_long,nomotor_xlink,2,r0012,160,8.0,actin,33,6.549,24.694,2.5,14.407,216.1,18.3
small_long,nomotor_xlink,3,r0013,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,3,r0013,20,1.0,actin,12,11.513,0.025,11.34,11.69,138.2,2.1
small_long,nomotor_xlink,3,r0013,40,2.0,actin,15,11.904,13.448,4.84,14.03,178.6,4.3
small_long,nomotor_xlink,3,r0013,80,4.0,actin,21,9.328,27.652,2.5,14.385,195.9,8.2
small_long,nomotor_xlink,3,r0013,120,6.0,actin,27,7.668,28.135,2.5,14.385,207.0,12.0
small_long,nomotor_xlink,3,r0013,160,8.0,actin,33,6.607,25.561,2.5,14.385,218.0,16.0
small_long,nomotor_xlink,4,r0014,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,4,r0014,20,1.0,actin,12,11.594,0.017,11.184,11.631,139.1,0.5
small_long,nomotor_xlink,4,r0014,40,2.0,actin,15,11.962,13.94,4.761,13.893,179.4,1.6
small_long,nomotor_xlink,4,r0014,80,4.0,actin,21,9.37,28.551,2.5,14.187,196.8,4.4
small_long,nomotor_xlink,4,r0014,120,6.0,actin,27,7.74,29.369,2.5,14.187,209.0,7.1
small_long,nomotor_xlink,4,r0014,160,8.0,actin,33,6.707,27.187,2.5,14.187,221.3,9.8
small_long,nomotor_xlink,5,r0015,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,5,r0015,20,1.0,actin,12,11.547,0.032,11.21,11.663,138.6,1.4
small_long,nomotor_xlink,5,r0015,40,2.0,actin,15,11.944,13.774,4.795,13.958,179.2,2.7
small_long,nomotor_xlink,5,r0015,80,4.0,actin,21,9.346,28.19,2.5,14.266,196.3,6.0
small_long,nomotor_xlink,5,r0015,120,6.0,actin,27,7.663,28.249,2.5,14.266,206.9,10.4
small_long,nomotor_xlink,5,r0015,160,8.0,actin,33,6.588,25.338,2.5,14.266,217.4,14.9
small_long,rotatable_xlink,1,r0016,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,1,r0016,20,1.0,actin,12,11.529,0.034,11.249,11.676,138.4,1.8
small_long,rotatable_xlink,1,r0016,40,2.0,actin,15,11.923,13.713,4.739,13.994,178.8,3.5
small_long,rotatable_xlink,1,r0016,80,4.0,actin,21,9.288,27.998,2.5,14.342,195.0,8.4
small_long,rotatable_xlink,1,r0016,120,6.0,actin,27,7.593,28.075,2.5,14.342,205.0,13.5
small_long,rotatable_xlink,1,r0016,160,8.0,actin,33,6.481,24.885,2.5,14.214,213.9,19.6
small_long,rotatable_xlink,2,r0017,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,2,r0017,20,1.0,actin,12,11.53,0.032,11.287,11.673,138.4,1.7
small_long,rotatable_xlink,2,r0017,40,2.0,actin,15,11.92,13.578,4.821,13.994,178.8,3.6
small_long,rotatable_xlink,2,r0017,80,4.0,actin,21,9.303,27.436,2.5,14.342,195.4,8.1
small_long,rotatable_xlink,2,r0017,120,6.0,actin,27,7.606,27.317,2.5,14.342,205.4,13.1
small_long,rotatable_xlink,2,r0017,160,8.0,actin,33,6.528,24.341,2.5,14.342,215.4,18.0
small_long,rotatable_xlink,3,r0018,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,3,r0018,20,1.0,actin,12,11.541,0.036,11.251,11.669,138.5,1.5
small_long,rotatable_xlink,3,r0018,40,2.0,actin,15,11.942,13.75,4.803,13.972,179.1,2.9
small_long,rotatable_xlink,3,r0018,80,4.0,actin,21,9.312,27.758,2.5,14.301,195.6,7.3
small_long,rotatable_xlink,3,r0018,120,6.0,actin,27,7.612,27.515,2.5,14.301,205.5,12.3
small_long,rotatable_xlink,3,r0018,160,8.0,actin,33,6.523,24.326,2.5,14.301,215.2,17.6
small_long,rotatable_xlink,4,r0019,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,4,r0019,20,1.0,actin,12,11.559,0.032,11.216,11.658,138.7,1.2
small_long,rotatable_xlink,4,r0019,40,2.0,actin,15,11.95,13.836,4.787,13.945,179.3,2.4
small_long,rotatable_xlink,4,r0019,80,4.0,actin,21,9.312,27.955,2.5,14.266,195.6,6.7
small_long,rotatable_xlink,4,r0019,120,6.0,actin,27,7.594,27.773,2.5,14.266,205.0,12.3
small_long,rotatable_xlink,4,r0019,160,8.0,actin,33,6.503,24.637,2.5,14.266,214.6,17.7
small_long,rotatable_xlink,5,r0020,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,5,r0020,20,1.0,actin,12,11.615,0.0,11.554,11.621,139.4,0.1
small_long,rotatable_xlink,5,r0020,40,2.0,actin,15,11.989,14.14,4.726,13.847,179.8,0.5
small_long,rotatable_xlink,5,r0020,80,4.0,actin,21,9.359,29.015,2.356,14.114,196.5,3.4
small_long,rotatable_xlink,5,r0020,120,6.0,actin,27,7.692,29.586,1.846,14.114,207.7,7.3
small_long,rotatable_xlink,5,r0020,160,8.0,actin,33,6.577,26.951,1.331,14.114,217.0,13.0
