scenario,scenario_label,scenario_short,condition,condition_label,condition_short,motor_mode,include_xlinks,n_clusters,motors_per_cluster,total_motors,n_replicates,run_dir,run_path,growth_end_min,motor_onset_min,threshold_vz_abs,threshold_vz_abs_matched,zmin,zmax,scenario_z_low,scenario_z_high,chewer_zone_bottom,chewer_zone_top,mean_vz_abs,mean_vz_abs_sd,mean_vz_abs_sem,mean_vz_abs_n,mean_vz_signed,mean_vz_signed_sd,mean_vz_signed_sem,mean_vz_signed_n,peak_vz_abs,peak_vz_abs_sd,peak_vz_abs_sem,peak_vz_abs_n,time_to_peak_min,time_to_peak_min_sd,time_to_peak_min_sem,time_to_peak_min_n,auc_vz_abs,auc_vz_abs_sd,auc_vz_abs_sem,auc_vz_abs_n,excess_auc_vz_abs,excess_auc_vz_abs_sd,excess_auc_vz_abs_sem,excess_auc_vz_abs_n,directionality_index,directionality_index_sd,directionality_index_sem,directionality_index_n,active_transport_fraction,active_transport_fraction_sd,active_transport_fraction_sem,active_transport_fraction_n,matched_active_transport_fraction,matched_active_transport_fraction_sd,matched_active_transport_fraction_sem,matched_active_transport_fraction_n,longest_active_streak_min,longest_active_streak_min_sd,longest_active_streak_min_sem,longest_active_streak_min_n,onset_time_after_motor_min,onset_time_after_motor_min_sd,onset_time_after_motor_min_sem,onset_time_after_motor_min_n,net_z_displacement,net_z_displacement_sd,net_z_displacement_sem,net_z_displacement_n,abs_net_z_displacement,abs_net_z_displacement_sd,abs_net_z_displacement_sem,abs_net_z_displacement_n,mass_normalized_auc,mass_normalized_auc_sd,mass_normalized_auc_sem,mass_normalized_auc_n,mass_retention,mass_retention_sd,mass_retention_sem,mass_retention_n,mean_swirl_rate_abs,mean_swirl_rate_abs_sd,mean_swirl_rate_abs_sem,mean_swirl_rate_abs_n,swirl_penalty,swirl_penalty_sd,swirl_penalty_sem,swirl_penalty_n,seed_zone_mass_fraction_motor_onset,seed_zone_mass_fraction_motor_onset_sd,seed_zone_mass_fraction_motor_onset_sem,seed_zone_mass_fraction_motor_onset_n,seed_zone_mass_fraction_final,seed_zone_mass_fraction_final_sd,seed_zone_mass_fraction_final_sem,seed_zone_mass_fraction_final_n,seed_zone_retention,seed_zone_retention_sd,seed_zone_retention_sem,seed_zone_retention_n,seed_zone_mass_fraction_mean,seed_zone_mass_fraction_mean_sd,seed_zone_mass_fraction_mean_sem,seed_zone_mass_fraction_mean_n,chewer_band_mass_fraction_motor_onset,chewer_band_mass_fraction_motor_onset_sd,chewer_band_mass_fraction_motor_onset_sem,chewer_band_mass_fraction_motor_onset_n,chewer_band_mass_fraction_final,chewer_band_mass_fraction_final_sd,chewer_band_mass_fraction_final_sem,chewer_band_mass_fraction_final_n,chewer_band_mass_fraction_gain,chewer_band_mass_fraction_gain_sd,chewer_band_mass_fraction_gain_sem,chewer_band_mass_fraction_gain_n,chewer_band_mass_fraction_mean,chewer_band_mass_fraction_mean_sd,chewer_band_mass_fraction_mean_sem,chewer_band_mass_fraction_mean_n,bottom_half_mass_fraction_motor_onset,bottom_half_mass_fraction_motor_onset_sd,bottom_half_mass_fraction_motor_onset_sem,bottom_half_mass_fraction_motor_onset_n,bottom_half_mass_fraction_final,bottom_half_mass_fraction_final_sd,bottom_half_mass_fraction_final_sem,bottom_half_mass_fraction_final_n,bottom_half_mass_fraction_gain,bottom_half_mass_fraction_gain_sd,bottom_half_mass_fraction_gain_sem,bottom_half_mass_fraction_gain_n,bottom_half_mass_fraction_mean,bottom_half_mass_fraction_mean_sd,bottom_half_mass_fraction_mean_sem,bottom_half_mass_fraction_mean_n,axial_spread_entropy_motor_onset,axial_spread_entropy_motor_onset_sd,axial_spread_entropy_motor_onset_sem,axial_spread_entropy_motor_onset_n,axial_spread_entropy_final,axial_spread_entropy_final_sd,axial_spread_entropy_final_sem,axial_spread_entropy_final_n,axial_spread_entropy_gain,axial_spread_entropy_gain_sd,axial_spread_entropy_gain_sem,axial_spread_entropy_gain_n,axial_spread_entropy_mean,axial_spread_entropy_mean_sd,axial_spread_entropy_mean_sem,axial_spread_entropy_mean_n,speckle_length_proxy_motor_onset_um,speckle_length_proxy_motor_onset_um_sd,speckle_length_proxy_motor_onset_um_sem,speckle_length_proxy_motor_onset_um_n,speckle_length_proxy_final_um,speckle_length_proxy_final_um_sd,speckle_length_proxy_final_um_sem,speckle_length_proxy_final_um_n,top_bias_final,top_bias_final_sd,top_bias_final_sem,top_bias_final_n,nematic_xy_final,nematic_xy_final_sd,nematic_xy_final_sem,nematic_xy_final_n
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,5,mean,,1.0,1.0,0.0170920901009658,0.011048252922643338,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.004018401668181864,0.00018439989877882588,8.246614174270701e-05,5,0.0005733745886349164,0.0009616168619026221,0.00043004813430485813,5,0.03365335390922193,0.009865990584250505,0.004412205122351399,5,0.06000000000000001,0.10839741694339398,0.04847679857416328,5,1.6571019484070764,0.06617158698480473,0.02959283333541274,5,0.14758164555328954,0.05486430016229635,0.024536060940169475,5,1.5613826985770565,0.3417126917001315,0.15281856148318446,5,0.022695035460992906,0.003171727627659276,0.0014184397163120566,5,0.05106382978723405,0.010519430478149874,0.004704432326745247,5,0.15999999999999942,0.06519202405202625,0.029154759474226393,5,0.0,0.0,0.0,1,2.577544741290461,0.5040687309126995,0.22542638953056915,5,2.577544741290461,0.5040687309126995,0.22542638953056915,5,0.0014210464042871437,6.265129591788574e-05,2.801851131016952e-05,5,1.7927726723244661,0.04264743972668243,0.019072514859037392,5,0.004675017261323563,0.0029261123492266045,0.0013085972245344582,5,1.1579153054651528,0.692840090450261,0.30984750795677724,5,0.39971472302382793,0.061203280512153485,0.027370939134232667,5,0.5825708550660214,0.023165884907943433,0.010360098682619594,5,1.4792377946690425,0.18241346095309602,0.08157777974042525,5,0.5438636930121075,0.03500124992628937,0.015653034826528505,5,0.1175212591205325,0.014450191171139467,0.006462321949307029,5,0.054778973484231885,0.00860160722603786,0.0038467556946348105,5,-0.06274228563630062,0.008299540541964577,0.0037116673667696477,5,0.07393709099577864,0.008037080767125027,0.0035942917871895435,5,0.33958066831918604,0.04334836956403465,0.01938598021179288,5,0.1924868816140021,0.022006908786280883,0.009841788804152289,5,-0.14709378670518394,0.022619403627830482,0.010115704824466863,5,0.23436637145564626,0.03107967021607168,0.01389925106428237,5,0.9498052629158591,0.004510726141490772,0.00201725805605174,5,0.920424027034346,0.004776206077900487,0.002135984292946629,5,-0.029381235881513267,0.002994526286632581,0.0013391928674640942,5,0.9305171230802383,0.006939434458830288,0.003103409435069798,5,1166.8,38.3301447949261,17.141761869772896,5,2091.2,64.00937431345506,28.625862432422885,5,0.6793229938795944,0.030923646471053307,0.013829475124289335,5,0.06792288599767464,0.028300676957892283,0.012656447497421819,5
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,5,mean,,1.0,1.0,0.0170920901009658,0.011048252922643338,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.011494839706845107,0.0037097275074345283,0.0016590405769248923,5,-0.008580937891203521,0.0032063322872211064,0.0014339153905357548,5,0.054338280441445196,0.015182274680688255,0.00678971964781857,5,1.85,1.4675660121439171,0.656315472924416,5,4.825959341259489,1.5676627403191792,0.701080090629457,5,1.8954001134258114,1.1645536089506714,0.5208042066112817,5,0.24254614931658872,0.25532857349794613,0.11418640938789176,5,0.21843971631205675,0.13450892637697606,0.06015422059188659,5,0.36879432624113473,0.14986203268876197,0.06702033846767347,5,0.5899999999999979,0.28591956910991495,0.12786711852544377,5,0.7999999999999999,0.879630604287959,0.3933827652554189,5,-0.16814235427980567,1.2606439774595302,0.5637771258050444,5,0.9700778310505104,0.6695142299935465,0.2994158660337997,5,0.0041058701991281725,0.0013118993722219226,0.0005866992351855037,5,1.752022695683058,0.05098399165938804,0.02280073422293479,5,0.01036061871288658,0.00606903077331408,0.00271415307333368,5,1.1452690597494992,1.034153698381174,0.4624875937526239,5,0.3502882361535497,0.03705129119044073,0.016569841151192918,5,0.3882990374025369,0.02895172863903228,0.012947606660600729,5,1.1225321798179284,0.17763298355777316,0.07943988525625664,5,0.3888657002296608,0.03421237619613613,0.015300239769271213,5,0.1459343269299288,0.04035993832781512,0.01804951313373876,5,0.1754059014914607,0.07559305938159253,0.03380624388088382,5,0.029471574561531887,0.06472660125939614,0.02894661607370665,5,0.1666729195430221,0.051925951535368206,0.023221991485888577,5,0.3715842085185888,0.04620817285901149,0.0206649231257621,5,0.34810689109352455,0.08427482561944707,0.0376888477754049,5,-0.02347731742506425,0.05420407296977319,0.02424079836355435,5,0.35139760090652367,0.06782662255500835,0.030332987743443826,5,0.9536693471587385,0.01218939848894921,0.00545126472522473,5,0.967916138863254,0.019220822071602965,0.00859581294710651,5,0.014246791704515416,0.021735026014363622,0.009720199132168676,5,0.9650718380755936,0.01229322836007345,0.005497698855210499,5,1174.4,48.690861565595654,21.77521526874074,5,2055.6,27.254357449773053,12.188519188154071,5,0.36024981602713174,0.18074194557259174,0.08083025533717646,5,0.04827793013948686,0.02793588774523661,0.012493308802030477,5
small_long,Small elongated,"Small
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,5,mean,,1.0,1.0,0.0170920901009658,0.020465079543696085,-7.5,7.5,3.0,7.5,-7.5,-3.0,0.007804638172481742,0.0005646624681809901,0.0002525247326391012,5,-0.0013396045777570216,0.0013563953657556146,0.0006065984484390489,5,0.04086990799869608,0.010406770837549843,0.004654049403804774,5,0.22000000000000003,0.2659887215654077,0.11895377253370318,5,3.274070624081137,0.23316738764428174,0.1042756257817317,5,0.15117718122410004,0.09228374004485061,0.04127054319164109,5,0.20282842499257187,0.09611603104566198,0.042984395829116076,5,0.07801418439716312,0.022427501135945955,0.01002988342108578,5,0.05106382978723404,0.024259051597854,0.010848977688495286,5,0.11999999999999958,0.02738612787525821,0.012247448713915848,5,0.43333333333333335,0.4310839052125853,0.24888640871780127,3,-0.04441939009763631,0.8231664700594601,0.36813123677029963,5,0.669049319292355,0.3471824457601578,0.15526470986286928,5,0.023522883148118935,0.0033812955683085026,0.001512161348551319,5,1.6248932450795777,0.05633921498926554,0.025195662902994565,5,0.008930448158785695,0.006071261309130599,0.0027151505992760766,5,1.1591781651485662,0.8287929082436141,0.37064745642049335,5,0.5271916689191233,0.14061965866683648,0.06288702315037276,5,0.560020688703905,0.04732221715527614,0.021163138881040832,5,1.1208327884619376,0.29870067923580673,0.13358300473932475,5,0.5765897497414147,0.05210523620454737,0.02330217002741021,5,0.07291573148301267,0.047083239460807697,0.02105626480705331,5,0.07955060340381441,0.05073661663882091,0.02269010475055009,5,0.0066348719208017635,0.06009218223605081,0.026874040879222984,5,0.06997549619384952,0.03978626224818383,0.01779295739151453,5,0.21591086301530032,0.10035328392067563,0.044879352922393465,5,0.21850028469024693,0.04178778732546353,0.018688066617808117,5,0.002589421674946585,0.07671931131684948,0.03430991905828887,5,0.21579501938962115,0.07132835281340745,0.031899009122773485,5,0.7952358736714006,0.034400434003148156,0.015384341777306897,5,0.8567060500897539,0.011858019303378587,0.005303067448171844,5,0.061470176418353326,0.04105677120711767,0.01836114627115424,5,0.8345231825584873,0.01869356046970919,0.008360014390354529,5,140.8,15.974980438172686,7.1442284397967,5,228.4,22.60088493842664,10.107423014794621,5,0.5717839755181527,0.16383006322445665,0.07326703162559468,5,0.19370044090295238,0.13971210351999044,0.06248115215003725,5
small_long,Small elongated,"Small
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,6,12,72,5,mean,,1.0,1.0,0.0170920901009658,0.020465079543696085,-7.5,7.5,3.0,7.5,-7.5,-3.0,0.02284817870853297,0.005902161579470435,0.0026395269011766837,5,-0.013180286114395572,0.006180105175060892,0.0027638270559068785,5,0.2338588043725059,0.05938912983994861,0.02655962628933726,5,2.05,1.9662782102235687,0.8793463481473043,5,9.614000548708415,2.5104519731465493,1.1227082532408321,5,5.039456687095372,1.855097415067706,0.8296247849951066,5,0.438576224731093,0.2376302309362744,0.1062714699764966,5,0.3092198581560283,0.0893729588767283,0.03996880227973155,5,0.2652482269503546,0.0907690596072406,0.04059315750710407,5,0.3599999999999987,0.09617692030835638,0.04301162633521298,5,0.55,0.22079402165819623,0.09874208829065752,5,-4.511672475240384,2.576201836672229,1.1521124861117829,5,4.511672475240384,2.576201836672229,1.1521124861117829,5,0.07168943166932,0.023345546841636065,0.01044044594196075,5,1.5575377524459975,0.12621713822877587,0.056446020201006045,5,0.023945992260722224,0.00833462133361596,0.0037273559737370475,5,1.0460717742839583,0.2524887551173285,0.11291640399932887,5,0.6023673530256668,0.12378196257078641,0.05535697653932261,5,0.24710457529819058,0.13252306438109407,0.05926611610854148,5,0.4590378998210939,0.32624769460477915,0.1459024045277755,5,0.3476449812108349,0.07451244171224747,0.03332297696761523,5,0.07221453372997075,0.041469269555802775,0.018545621140807503,5,0.46097091495134307,0.14245747243051773,0.06370891845148796,5,0.3887563812213723,0.1624963105469913,0.07267055929519771,5,0.3232639005121493,0.12227350197319445,0.05468237245180349,5,0.21826268964862336,0.12246473454069333,0.054767894255891354,5,0.630230981663004,0.1752288588360495,0.07836472799542427,5,0.4119682920143807,0.29301553220425486,0.13104052969439853,5,0.49457427247128827,0.1015389454985552,0.04540959689968314,5,0.7842624549954583,0.04175375036614749,0.018672844826852504,5,0.8580532502138851,0.024495927386623935,0.010954911761677977,5,0.07379079521842691,0.03856820073798872,0.017248223724000068,5,0.8461901760872484,0.024031300566109484,0.010747124330709996,5,138.4,22.199099080818574,9.927738916792686,5,213.6,22.378561169118985,10.007996802557443,5,-0.2840811036241725,0.37962508831063735,0.16977350068538918,5,0.25340174261904136,0.08159195720398563,0.0364890325450731,5
