system,system_label,case,case_index,description,replicate,seed,config,steric,microtubules,mt_mode,actin_mode,division,steps,frames,duration_s,box_x,box_y,box_z,scale_factor,material_scale,actin_total_polymer,actin_max_length,fixed_mt_length,mt_fibers_per_site
small_system,small 12x12x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0003,62403,small_system/04_fixed_mt_perinuclear_actin_long/r0003/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0004,62404,small_system/04_fixed_mt_perinuclear_actin_long/r0004/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0005,62405,small_system/04_fixed_mt_perinuclear_actin_long/r0005/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0001,62501,small_system/05_growing_mt_perinuclear_actin_long/r0001/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0002,62502,small_system/05_growing_mt_perinuclear_actin_long/r0002/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0003,62503,small_system/05_growing_mt_perinuclear_actin_long/r0003/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0004,62504,small_system/05_growing_mt_perinuclear_actin_long/r0004/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0005,62505,small_system/05_growing_mt_perinuclear_actin_long/r0005/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0001,62601,small_system/06_division_fixed_mt_perinuclear_actin_long/r0001/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0002,62602,small_system/06_division_fixed_mt_perinuclear_actin_long/r0002/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
