run_id,run_dir,system_label,system,case,replicate,description,actin_total_polymer,fixed_mt_length,early_actin_count,early_actin_avg_len,early_actin_var_len,early_actin_min_len,early_actin_max_len,early_actin_total_len,early_actin_off_len,early_mt_count,early_mt_avg_len,early_mt_var_len,early_mt_min_len,early_mt_max_len,early_mt_total_len,early_mt_off_len,final_actin_count,final_actin_avg_len,final_actin_var_len,final_actin_min_len,final_actin_max_len,final_actin_total_len,final_actin_off_len,final_mt_count,final_mt_avg_len,final_mt_var_len,final_mt_min_len,final_mt_max_len,final_mt_total_len,final_mt_off_len,actin_total_len_change,actin_total_len_fold_change,early_body_count,early_mean_pairwise_dist,early_min_pairwise_dist,early_max_pairwise_dist,early_centroid_radius_xy,early_mean_radius_from_centroid,final_body_count,final_mean_pairwise_dist,final_min_pairwise_dist,final_max_pairwise_dist,final_centroid_radius_xy,final_mean_radius_from_centroid,mean_body_displacement,max_body_displacement
r0001,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0001,large_system (large 24x24x1.2 um),large_system,01_actin_only_perinuclear_long,r0001,Long free perinuclear actin control with doubled actin polymer pool.,4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,nan,nan,nan,nan,nan,nan,nan,656.0,5.507,25.485,0.491,12.461,3612.6,6294.4,nan,nan,nan,nan,nan,nan,nan,3324.6,12.54375,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,14.503193919189307,9.53024823076503,18.38952682099243,0.19086442341358434,9.052230956294972,11.605838363476796,13.120824596419236
r0002,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0002,large_system (large 24x24x1.2 um),large_system,01_actin_only_perinuclear_long,r0002,Long free perinuclear actin control with doubled actin polymer pool.,4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,nan,nan,nan,nan,nan,nan,nan,656.0,5.507,25.485,0.491,12.461,3612.6,6294.4,nan,nan,nan,nan,nan,nan,nan,3324.6,12.54375,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,13.36561736446115,9.713742226351284,16.7286363637327,0.515179541519265,8.347380772723424,1.5119266108273326,1.9958276829425932
r0003,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0003,large_system (large 24x24x1.2 um),large_system,01_actin_only_perinuclear_long,r0003,Long free perinuclear actin control with doubled actin polymer pool.,4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,nan,nan,nan,nan,nan,nan,nan,656.0,5.507,25.485,0.491,12.461,3612.6,6294.4,nan,nan,nan,nan,nan,nan,nan,3324.6,12.54375,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,10.357410482936876,5.427395463756073,13.195895716850751,0.644320875515453,6.459216227615906,10.788688500052555,16.736470180716125
r0004,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0004,large_system (large 24x24x1.2 um),large_system,01_actin_only_perinuclear_long,r0004,Long free perinuclear actin control with doubled actin polymer pool.,4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,nan,nan,nan,nan,nan,nan,nan,656.0,5.507,25.485,0.491,12.461,3612.6,6294.4,nan,nan,nan,nan,nan,nan,nan,3324.6,12.54375,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,12.23431271464412,4.810815535852523,16.733376305754916,0.8144473498176539,7.594111043501815,11.448600710291558,16.040485578061535
r0005,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0005,large_system (large 24x24x1.2 um),large_system,01_actin_only_perinuclear_long,r0005,Long free perinuclear actin control with doubled actin polymer pool.,4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,nan,nan,nan,nan,nan,nan,nan,656.0,5.507,25.485,0.491,12.461,3612.6,6294.4,nan,nan,nan,nan,nan,nan,nan,3324.6,12.54375,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,13.057549885094396,8.16173213294825,16.369039159339806,1.9761162695107295,8.178462785392782,11.299567782540624,15.533325692201268
r0013,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0013,large_system (large 24x24x1.2 um),large_system,03_growing_mt_uniform_actin_long,r0003,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,64.0,1.0,0.0,1.0,1.0,64.0,0.0,192.0,16.0,-0.0,16.0,16.0,3072.0,2203.4,64.0,1.738,34.292,0.3,31.176,111.2,0.0,2784.0,10.666666666666666,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,12.142132396239667,5.9802868459631595,21.308290453717774,2.2173095340975735,7.394755384234016,8.625653734612667,12.300023789001385
r0014,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0014,large_system (large 24x24x1.2 um),large_system,03_growing_mt_uniform_actin_long,r0004,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,64.0,1.0,0.0,1.0,1.0,64.0,0.0,192.0,16.0,-0.0,16.0,16.0,3072.0,2203.4,64.0,1.206,20.153,0.3,26.652,77.2,0.0,2784.0,10.666666666666666,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,15.138859407332108,11.3065196378019,23.289633683035895,3.92099105137974,9.113573380830879,11.179013951027825,16.96827594394905
r0015,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0015,large_system (large 24x24x1.2 um),large_system,03_growing_mt_uniform_actin_long,r0005,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",4800,12.0,192.0,1.5,0.0,1.5,1.5,288.0,0.0,64.0,1.0,0.0,1.0,1.0,64.0,0.0,192.0,16.0,-0.0,16.0,16.0,3072.0,2203.4,64.0,0.629,3.424,0.3,11.474,40.3,0.0,2784.0,10.666666666666666,4,13.656854249492378,12.0,16.97056274847714,0.0,8.48528137423857,4,15.739310533755967,8.314198406340806,19.65759256190849,3.056672374699323,9.879581238349747,11.314972923879335,19.515931546815796
r0033,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0033,large_system (large 24x24x1.2 um),large_system,07_division_growing_mt_perinuclear_actin_long,r0003,Two-to-four division with growing tethered MTs and free perinuclear actin.,4800,12.0,96.0,1.5,0.0,1.5,1.5,144.0,0.0,32.0,1.0,0.0,1.0,1.0,32.0,0.0,560.0,6.288,31.364,0.528,16.0,3521.2,3879.9,64.0,2.651,66.785,0.3,44.139,169.7,0.0,3377.2,24.452777777777776,2,12.0,12.0,12.0,6.0,6.0,4,11.290605631578572,2.1628493613749433,20.703838609542917,6.0755284459975165,7.5366661503038594,nan,nan
r0034,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0034,large_system (large 24x24x1.2 um),large_system,07_division_growing_mt_perinuclear_actin_long,r0004,Two-to-four division with growing tethered MTs and free perinuclear actin.,4800,12.0,96.0,1.5,0.0,1.5,1.5,144.0,0.0,32.0,1.0,0.0,1.0,1.0,32.0,0.0,560.0,6.288,31.364,0.528,16.0,3521.2,3879.9,64.0,2.169,39.182,0.3,26.819,138.8,0.0,3377.2,24.452777777777776,2,12.0,12.0,12.0,6.0,6.0,4,10.455014481128563,2.210384439413198,17.245863750766443,4.999735368309507,6.322939264486046,nan,nan
r0035,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0035,large_system (large 24x24x1.2 um),large_system,07_division_growing_mt_perinuclear_actin_long,r0005,Two-to-four division with growing tethered MTs and free perinuclear actin.,4800,12.0,96.0,1.5,0.0,1.5,1.5,144.0,0.0,32.0,1.0,0.0,1.0,1.0,32.0,0.0,560.0,6.288,31.364,0.528,16.0,3521.2,3879.9,64.0,2.427,36.459,0.3,25.348,155.3,0.0,3377.2,24.452777777777776,2,12.0,12.0,12.0,6.0,6.0,4,10.85971773451133,3.259076320063708,18.358504562463686,2.224979466478286,6.793767059553703,nan,nan
r0036,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0036,small_system (small 12x12x1.2 um),small_system,01_actin_only_perinuclear_long,r0001,Long free perinuclear actin control with doubled actin polymer pool.,1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,nan,nan,nan,nan,nan,nan,nan,164.0,5.507,25.602,0.491,12.461,903.2,1573.6,nan,nan,nan,nan,nan,nan,nan,831.2,12.544444444444444,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,4.742728674675462,3.542105433213416,5.996729457796141,1.1722619550467377,2.941686598064764,4.337154375828434,6.192032373138887
r0037,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0037,small_system (small 12x12x1.2 um),small_system,01_actin_only_perinuclear_long,r0002,Long free perinuclear actin control with doubled actin polymer pool.,1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,nan,nan,nan,nan,nan,nan,nan,164.0,5.507,25.602,0.491,12.461,903.2,1573.6,nan,nan,nan,nan,nan,nan,nan,831.2,12.544444444444444,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,6.044747193388623,4.2812530747434225,8.552413387459707,0.795354087812466,3.761303768966653,4.373520985355139,7.099297037031202
r0038,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0038,small_system (small 12x12x1.2 um),small_system,01_actin_only_perinuclear_long,r0003,Long free perinuclear actin control with doubled actin polymer pool.,1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,nan,nan,nan,nan,nan,nan,nan,164.0,5.507,25.602,0.491,12.461,903.2,1573.6,nan,nan,nan,nan,nan,nan,nan,831.2,12.544444444444444,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,5.835544895572959,2.7117214993431755,7.746438165376394,1.2140931803716715,3.6655317722816245,4.209770068547663,5.555025999939153
r0039,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0039,small_system (small 12x12x1.2 um),small_system,01_actin_only_perinuclear_long,r0004,Long free perinuclear actin control with doubled actin polymer pool.,1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,nan,nan,nan,nan,nan,nan,nan,164.0,5.507,25.602,0.491,12.461,903.2,1573.6,nan,nan,nan,nan,nan,nan,nan,831.2,12.544444444444444,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,4.906908002442926,1.7383298593765222,7.7210704219039465,1.3057988735348949,2.9649169372347943,2.9007651570584847,3.8757133356325517
r0040,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0040,small_system (small 12x12x1.2 um),small_system,01_actin_only_perinuclear_long,r0005,Long free perinuclear actin control with doubled actin polymer pool.,1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,nan,nan,nan,nan,nan,nan,nan,164.0,5.507,25.602,0.491,12.461,903.2,1573.6,nan,nan,nan,nan,nan,nan,nan,831.2,12.544444444444444,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,5.332695257802639,2.943481144835142,8.472326482141726,0.9281939334670315,3.020609382508858,4.310154095449333,5.740293015169174
r0041,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0041,small_system (small 12x12x1.2 um),small_system,02_fixed_mt_uniform_actin_long,r0001,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,32.0,6.0,0.0,6.0,6.0,192.0,0.0,48.0,16.0,-0.0,16.0,16.0,768.0,550.9,32.0,6.0,0.0,6.0,6.0,192.0,0.0,696.0,10.666666666666666,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,2.2448587525954253,1.0387205832176427,3.1123166580539325,0.8288895734656094,1.406321068853636,3.8824604381427643,4.532789558318365
r0042,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0042,small_system (small 12x12x1.2 um),small_system,02_fixed_mt_uniform_actin_long,r0002,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,32.0,6.0,0.0,6.0,6.0,192.0,0.0,48.0,16.0,-0.0,16.0,16.0,768.0,550.9,32.0,6.0,0.0,6.0,6.0,192.0,0.0,696.0,10.666666666666666,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,3.542013168236251,1.0055574623063568,6.291894790919504,0.7857920248068188,2.255347218690865,5.041088177626183,7.631137324147692
r0043,/home/thekaka/project/cytosim/ast/tethered_mt_free_actin_pilot/save/r0043,small_system (small 12x12x1.2 um),small_system,02_fixed_mt_uniform_actin_long,r0003,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",1200,6.0,48.0,1.5,0.0,1.5,1.5,72.0,0.0,32.0,6.0,0.0,6.0,6.0,192.0,0.0,48.0,16.0,-0.0,16.0,16.0,768.0,550.9,32.0,6.0,0.0,6.0,6.0,192.0,0.0,696.0,10.666666666666666,4,5.73703418364266,4.0,7.211102550927978,0.0,3.605551275463989,4,3.779566006003295,2.320565381539594,4.618772608605018,0.2174344067759286,2.3278476150872964,3.561590972212624,6.2386864546954115
