run_dir,case,replicate,frame,time_s,time_min,dx,dy,dz,net_displacement
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,5,5.0,0.08333333333333333,0.0334,-0.0047,-0.0038,0.033942451296274996
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,6,6.0,0.1,0.0323,-0.0089,-0.0085,0.03456515586540874
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,7,7.0,0.11666666666666667,0.0333,-0.0088,-0.0085,0.03547647107591171
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,8,8.0,0.13333333333333333,0.0342,-0.0034,-0.0092,0.035578645280561205
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,9,9.0,0.15,0.0343,-0.0078,-0.0079,0.03605190702306883
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,10,10.0,0.16666666666666666,0.042,-0.0111,-0.0064,0.04391093257948413
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,11,11.0,0.18333333333333332,0.0368,-0.0015,-0.0098,0.03811207157843824
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,12,12.0,0.2,0.0468,-0.0026,-0.0165,0.049691548577197715
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,13,13.0,0.21666666666666667,0.0502,-0.0048,-0.014,0.05233622072714078
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,14,14.0,0.23333333333333334,0.0548,-0.0003,-0.0123,0.05616422348791088
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,15,15.0,0.25,0.0538,0.0026,-0.0066,0.05426564290598611
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,16,16.0,0.26666666666666666,0.0503,0.0052,-0.01,0.051547356867253626
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,17,17.0,0.2833333333333333,0.0522,0.0029,-0.0097,0.05317273737546338
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,18,18.0,0.3,0.0524,0.0008,-0.0091,0.053190318667968146
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,19,19.0,0.31666666666666665,0.0522,-0.0016,-0.0025,0.05228431887287048
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/02_plus_x_cap_no_external/r0001,02_plus_x_cap_no_external,r0001,20,20.0,0.3333333333333333,0.0528,-0.0024,-0.0028,0.05292863119333429
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/03_plus_x_cap_fixed_binders/r0001,03_plus_x_cap_fixed_binders,r0001,0,0.0,0.0,0.0,0.0,0.0,0.0
