case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
03_plus_x_cap_fixed_binders,5,5.0,0.08333333333333333,1,0.7816,nan,0.0789,nan,0.019,nan,0.7858019915983924,nan
03_plus_x_cap_fixed_binders,6,6.0,0.1,1,0.8634,nan,0.0709,nan,0.0211,nan,0.8665630848357204,nan
03_plus_x_cap_fixed_binders,7,7.0,0.11666666666666667,1,0.8852,nan,0.0707,nan,0.0238,nan,0.8883377567119389,nan
03_plus_x_cap_fixed_binders,8,8.0,0.13333333333333333,1,0.8948,nan,0.0756,nan,0.0289,nan,0.8984528980419619,nan
03_plus_x_cap_fixed_binders,9,9.0,0.15,1,0.8964,nan,0.0823,nan,0.034,nan,0.9008119948135682,nan
03_plus_x_cap_fixed_binders,10,10.0,0.16666666666666666,1,0.8943,nan,0.0849,nan,0.0398,nan,0.8992021685916911,nan
03_plus_x_cap_fixed_binders,11,11.0,0.18333333333333332,1,0.8924,nan,0.0816,nan,0.0408,nan,0.8970512582901826,nan
03_plus_x_cap_fixed_binders,12,12.0,0.2,1,0.8833,nan,0.0716,nan,0.0331,nan,0.8868151216572708,nan
03_plus_x_cap_fixed_binders,13,13.0,0.21666666666666667,1,0.8798,nan,0.0687,nan,0.0274,nan,0.8829034431918362,nan
03_plus_x_cap_fixed_binders,14,14.0,0.23333333333333334,1,0.8819,nan,0.0664,nan,0.0215,nan,0.8846574591331947,nan
03_plus_x_cap_fixed_binders,15,15.0,0.25,1,0.8765,nan,0.0632,nan,0.019,nan,0.8789809383598712,nan
03_plus_x_cap_fixed_binders,16,16.0,0.26666666666666666,1,0.8753,nan,0.057,nan,0.0138,nan,0.8772625205718069,nan
03_plus_x_cap_fixed_binders,17,17.0,0.2833333333333333,1,0.8809,nan,0.0536,nan,0.0106,nan,0.882592844974397,nan
03_plus_x_cap_fixed_binders,18,18.0,0.3,1,0.8781,nan,0.0495,nan,0.0077,nan,0.8795277994469533,nan
03_plus_x_cap_fixed_binders,19,19.0,0.31666666666666665,1,0.8783,nan,0.049,nan,0.0105,nan,0.8797284467379692,nan
03_plus_x_cap_fixed_binders,20,20.0,0.3333333333333333,1,0.8811,nan,0.0456,nan,0.0091,nan,0.8823261188472208,nan
04_plus_x_cap_fixed_plus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
04_plus_x_cap_fixed_plus_motors,1,1.0,0.016666666666666666,1,0.0013,nan,-0.0026,nan,0.0004,nan,0.002934280150224242,nan
04_plus_x_cap_fixed_plus_motors,2,2.0,0.03333333333333333,1,-0.012,nan,0.0004,nan,-0.0034,nan,0.012478781991845198,nan
04_plus_x_cap_fixed_plus_motors,3,3.0,0.05,1,-0.0267,nan,-0.0041,nan,-0.0021,nan,0.02709446437927866,nan
04_plus_x_cap_fixed_plus_motors,4,4.0,0.06666666666666667,1,-0.0559,nan,-0.0005,nan,-0.0047,nan,0.056099465238092956,nan
04_plus_x_cap_fixed_plus_motors,5,5.0,0.08333333333333333,1,-0.0802,nan,-0.0017,nan,-0.0032,nan,0.08028181612295526,nan
04_plus_x_cap_fixed_plus_motors,6,6.0,0.1,1,-0.1173,nan,0.0014,nan,0.0041,nan,0.11737998125745293,nan
04_plus_x_cap_fixed_plus_motors,7,7.0,0.11666666666666667,1,-0.1468,nan,0.0034,nan,0.0048,nan,0.14691780014688488,nan
04_plus_x_cap_fixed_plus_motors,8,8.0,0.13333333333333333,1,-0.1647,nan,0.0076,nan,0.0034,nan,0.16491030895611106,nan
