scenario,scenario_label,scenario_short,condition,condition_label,condition_short,motor_mode,include_xlinks,n_clusters,motors_per_cluster,total_motors,run_dir,run_path,growth_end_min,motor_onset_min,threshold_vz_abs,threshold_vz_abs_matched,mean_vz_abs,mean_vz_signed,peak_vz_abs,time_to_peak_min,auc_vz_abs,excess_auc_vz_abs,directionality_index,active_transport_fraction,matched_active_transport_fraction,longest_active_streak_min,onset_time_after_motor_min,net_z_displacement,abs_net_z_displacement,mass_normalized_auc,mass_retention,mean_swirl_rate_abs,swirl_penalty,seed_zone_mass_fraction_motor_onset,seed_zone_mass_fraction_final,seed_zone_retention,seed_zone_mass_fraction_mean,chewer_band_mass_fraction_motor_onset,chewer_band_mass_fraction_final,chewer_band_mass_fraction_gain,chewer_band_mass_fraction_mean,bottom_half_mass_fraction_motor_onset,bottom_half_mass_fraction_final,bottom_half_mass_fraction_gain,bottom_half_mass_fraction_mean,axial_spread_entropy_motor_onset,axial_spread_entropy_final,axial_spread_entropy_gain,axial_spread_entropy_mean,speckle_length_proxy_motor_onset_um,speckle_length_proxy_final_um,top_bias_final,nematic_xy_final,zmin,zmax,scenario_z_low,scenario_z_high,chewer_zone_bottom,chewer_zone_top
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0001,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0001,1.0,1.0,0.018855093239169833,0.013684421453162766,0.0038322977127427226,0.0006791294830061401,0.021076077575902463,0.3500000000000001,1.589576698183559,0.07148545737852222,1.3653518920020233,0.02127659574468085,0.03546099290780142,0.14999999999999947,nan,2.1703315523472515,2.1703315523472515,0.0013115319291943557,1.7359735973597359,0.004707391571616613,1.2283470451588685,0.4323432343234323,0.5979087452471482,1.3829492351899688,0.5698796443844089,0.0792079207920792,0.012357414448669201,-0.06685050634341,0.038391316323171366,0.292079207920792,0.15304182509505707,-0.13903738282573494,0.1979879616271488,0.9297626987785429,0.8981825473968387,-0.031580151381704225,0.9104785603842572,1212.0,2104.0,0.6073446327683616,0.03614927403667987,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0002,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0002,1.0,1.0,0.018855093239169833,0.013684421453162766,0.004877352943451636,0.0005461043594401549,0.046029002908227014,0.050000000000000044,2.0248262916546005,0.22225516068720874,1.073217246065842,0.03546099290780142,0.05673758865248227,0.14999999999999947,0.0,2.1730784964912617,2.1730784964912617,0.0018111147510327375,1.7835420393559929,0.0030173237859746752,0.6186396229589561,0.4794275491949911,0.6004016064257028,1.2523302163879397,0.5853460716304282,0.0858676207513417,0.01706827309236948,-0.06879934765897222,0.03846015610380644,0.2665474060822898,0.15662650602409642,-0.10992090005819335,0.18471451167254738,0.9316420818747945,0.9023385909457445,-0.029303490929049936,0.9102650618482756,1118.0,1994.0,0.6176024279210925,0.0353715346394808,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0003,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0003,1.0,1.0,0.018855093239169833,0.013684421453162766,0.004253052507146342,0.0017481381162235484,0.026689350385495764,0.0,1.7578622530111814,0.0506884872107714,1.7110982794901373,0.0070921985815602835,0.04964539007092199,0.14999999999999947,nan,3.0078750767080886,3.0078750767080886,0.0013754790712137569,1.7104851330203443,0.0020178988607154748,0.4744589579660324,0.35837245696400616,0.5677655677655679,1.5842890733720436,0.519544346069439,0.10015649452269171,0.021062271062271064,-0.07909422346042064,0.056790296867262176,0.3505477308294209,0.18772893772893776,-0.16281879310048317,0.2378653193279471,0.94224715117733,0.9106995632703152,-0.03154758790701484,0.927687782911447,1278.0,2186.0,0.6358620689655172,0.06246998301905877,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0004,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0004,1.0,1.0,0.018855093239169833,0.013684421453162766,0.004031717477416379,0.0019541794322358295,0.01790075763837236,0.3999999999999999,1.6790160909812568,0.05321907449327173,1.8427845050574043,0.0,0.0425531914893617,0.14999999999999947,nan,3.094064836202313,3.094064836202313,0.0015236080680410679,1.7967332123411979,0.0041514501494303285,1.0296976840973187,0.4355716878402903,0.6272727272727271,1.4401136363636362,0.5823702353307713,0.1252268602540835,0.020202020202020204,-0.10502484005206329,0.060262525011821305,0.3321234119782214,0.15252525252525254,-0.17959815945296884,0.2145356170481911,0.9502911977135553,0.8954930229915037,-0.05479817472205162,0.9178221901209062,1102.0,1980.0,0.697841726618705,0.0635464454212411,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0005,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0005,1.0,1.0,0.018855093239169833,0.013684421453162766,0.004687264549261399,0.002630220101711542,0.041659980715245425,0.050000000000000044,1.975816482648447,0.27908409980148574,1.761402918458025,0.0425531914893617,0.07092198581560284,0.34999999999999876,0.050000000000000044,3.4802089188744443,3.4802089188744443,0.0016744207480071584,1.7457627118644068,0.003785806485506459,0.8076792862274034,0.35084745762711866,0.5883495145631067,1.6769382299141686,0.5279150548947873,0.09830508474576273,0.020388349514563107,-0.07791673523119963,0.041147194462502826,0.3627118644067796,0.17961165048543684,-0.18310021392134276,0.23046278314089214,0.9470953776994278,0.9058948124286375,-0.0412005652707903,0.9207111327021358,1180.0,2060.0,0.6514285714285715,0.028172081350132053,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,r0006,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0006,1.0,1.0,0.018855093239169833,0.013684421453162766,0.020868841897015655,-0.018014399315315066,0.09743618307426598,2.0,8.75238116825841,4.651719659447764,0.3832097061156606,0.3971631205673759,0.48936170212765956,0.5999999999999979,0.1499999999999999,-3.353997415300547,3.353997415300547,0.0072936509735486744,1.6266666666666667,0.022210859104633423,1.0643072200288068,0.32500000000000007,0.28176229508196726,0.8669609079445145,0.3077435286441055,0.14333333333333334,0.34836065573770486,0.20502732240437152,0.2479916497444684,0.3633333333333333,0.5307377049180328,0.16740437158469956,0.48019946045855205,0.9518198420211241,0.9830238568925195,0.031204014871395347,0.9694031554515012,1200.0,1952.0,-0.07737226277372262,0.04130247863881653,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,r0007,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0007,1.0,1.0,0.018855093239169833,0.013684421453162766,0.007363979278917044,-0.0026617308986494124,0.04095644171779137,2.55,3.0751477091981405,0.4982071725711791,0.5504881148873002,0.0851063829787234,0.14184397163120568,0.14999999999999947,6.45,1.692832265436484,1.692832265436484,0.002785459881520055,1.7735507246376812,0.0035707365298370984,0.4848922565629782,0.38043478260869573,0.5127681307456589,1.3478476579600174,0.4883937562067804,0.12500000000000003,0.08682328907048008,-0.03817671092951995,0.09790817093093271,0.39311594202898553,0.264555669050051,-0.12856027297893452,0.2858091110024046,0.9472508511650152,0.9404849835018866,-0.0067658676631285886,0.9444614820301914,1104.0,1958.0,0.5593705293276109,0.04642943359118313,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,r0008,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0008,1.0,1.0,0.018855093239169833,0.013684421453162766,0.010039617743279383,-0.006815541409927584,0.054637665319953545,2.7,4.2299300500680665,1.4072743493474826,0.1154577753513148,0.18439716312056736,0.24822695035460993,0.3999999999999986,0.10000000000000009,0.4883783134725346,0.4883783134725346,0.003450187642796139,1.5628058727569332,0.006979019416135606,0.6951479224203958,0.3295269168026101,0.4148380355276907,1.2588896820716555,0.37496127543292157,0.10440456769983689,0.12225705329153605,0.017852485591699163,0.12685105230302154,0.37030995106035886,0.3573667711598746,-0.01294317990048427,0.37364157286842475,0.952162414077563,0.9630409536024083,0.010878539524845299,0.9628149877587717,1226.0,1916.0,0.48709122203098104,0.15083501946454733,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,r0009,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0009,1.0,1.0,0.018855093239169833,0.013684421453162766,0.006548070392087237,-0.0032867584439657174,0.05047850172763265,0.050000000000000044,2.713434804549307,0.5783390267789345,0.7691259583955987,0.07092198581560284,0.10638297872340426,0.29999999999999893,0.0,2.08697314459296,2.08697314459296,0.002249945940753986,1.714759535655058,0.003223416471754203,0.49226967316194653,0.2819237147595356,0.4526112185686654,1.605438616452384,0.3993950150162701,0.10281923714759536,0.056092843326885855,-0.046726393820709505,0.09178501032874468,0.33665008291873966,0.28046421663442944,-0.056185866284310215,0.29832240837765495,0.9378096632794839,0.9407654745929189,0.0029558113134350306,0.9478180653376881,1206.0,2068.0,0.5921696574225123,0.05893893329646928,-15.0,15.0,6.0,15.0,-15.0,-6.0
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,r0010,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job10/save/r0010,1.0,1.0,0.018855093239169833,0.013684421453162766,0.01212726040669819,-0.010383512508077694,0.05646360204841846,1.5,5.057041096965374,1.4661033811301512,0.2788677857079354,0.19858156028368795,0.3404255319148936,0.5999999999999979,1.2999999999999998,-1.4102458529447626,1.4102458529447626,0.004285628048275741,1.6491525423728814,0.013842640938544168,1.141448313495316,0.4047619047619048,0.40596094552929085,1.002962336013542,0.4080449507614461,0.0782312925170068,0.16546762589928057,0.08723633338227377,0.11465712965819265,0.2908163265306122,0.3967112024665981,0.1058948759359859,0.35080745525268897,0.9289571767721698,0.9678972588878071,0.038940082115637265,0.9527712797425105,1180.0,1946.0,0.3157894736842105,0.07234488309253602,-15.0,15.0,6.0,15.0,-15.0,-6.0
