scenario,condition,frame,time_min,n_replicates,total_len,total_len_sd,total_len_sem,total_len_n,off_len,off_len_sd,off_len_sem,off_len_n,avg_len,avg_len_sd,avg_len_sem,avg_len_n,min_len,min_len_sd,min_len_sem,min_len_n,max_len,max_len_sd,max_len_sem,max_len_n
large_long,nomotor_xlink,0,0.0,5,480.0,0.0,0.0,5,0.0,0.0,0.0,5,5.0,0.0,0.0,5,5.0,0.0,0.0,5,5.0,0.0,0.0,5
large_long,nomotor_xlink,20,1.0,5,1177.2,1.9170289512680934,0.8573214099741177,5,26.779999999999994,3.1491268631161877,1.408332347139694,5,12.2624,0.02003247363657369,0.008958794561770237,5,11.506200000000002,0.06507841424005359,0.029103951621730028,5,12.541599999999999,0.01320227253165193,0.005904235767650392,5
large_long,nomotor_xlink,40,2.0,5,1459.8799999999999,2.2027255843613265,0.9850888284819747,5,51.21999999999999,6.4359925419472,2.878263365295121,5,12.165400000000002,0.018689569283426254,0.008358229477586627,5,6.559,0.02516942589730666,0.011256109452204266,5,14.100800000000001,0.03750599952007703,0.016773192898193345,5
large_long,nomotor_xlink,80,4.0,5,1657.1200000000001,7.765758172902387,3.47295263428686,5,99.17999999999999,12.045414065112086,5.38687293334454,5,9.863800000000001,0.04618116499180183,0.020652844840360483,5,5.0,0.0,0.0,5,14.144,0.038800773188172565,0.017352233285661017,5
large_long,nomotor_xlink,120,6.0,5,1851.2399999999998,11.073301224115637,4.952130854490839,5,145.07999999999998,15.361380146327997,6.869818047081013,5,8.5706,0.051398443556201275,0.022986082745870415,5,5.0,0.0,0.0,5,14.144,0.038800773188172565,0.017352233285661017,5
large_long,nomotor_xlink,160,8.0,5,2048.2400000000002,13.555183510377088,6.062062355337479,5,188.07999999999998,17.79879209384727,7.9598618078456616,5,7.758600000000001,0.05125719461695105,0.022922914299887766,5,5.0,0.0,0.0,5,14.144,0.038800773188172565,0.017352233285661017,5
large_long,rotatable_xlink,0,0.0,5,480.0,0.0,0.0,5,0.0,0.0,0.0,5,5.0,0.0,0.0,5,5.0,0.0,0.0,5,5.0,0.0,0.0,5
large_long,rotatable_xlink,20,1.0,5,1177.48,1.478850905263995,0.6613622305514789,5,26.080000000000002,2.430432060354702,1.086922260329597,5,12.265,0.01585875152715385,0.007092249290598922,5,11.4582,0.054062001442788,0.024177262045153133,5,12.5368,0.009934787365615996,0.004442971978304685,5
large_long,rotatable_xlink,40,2.0,5,1458.36,1.507647173578758,0.6742403132415056,5,52.779999999999994,4.479062401887252,2.0030976012166755,5,12.153200000000002,0.012477980605850892,0.0055803225713213205,5,6.5634,0.01750142851312425,0.007826876771739778,5,14.100200000000001,0.02722498852157727,0.012175385004179654,5
large_long,rotatable_xlink,80,4.0,5,1642.3799999999999,7.7773388765052385,3.478131682383511,5,114.08,10.58617022345664,4.734279248206637,5,9.776,0.04635730794599722,0.020731618364228186,5,5.0,0.0,0.0,5,14.1446,0.02828957405122914,0.012651482126612495,5
