variant,variant_label,scenario,scenario_label,scenario_short,condition,condition_label,condition_short,motor_mode,include_xlinks,n_clusters,motors_per_cluster,total_motors,n_replicates,run_dir,run_path,growth_end_min,motor_onset_min,threshold_vz_abs,threshold_vz_abs_matched,zmin,zmax,scenario_z_low,scenario_z_high,chewer_zone_bottom,chewer_zone_top,mean_vz_abs,mean_vz_abs_sd,mean_vz_abs_sem,mean_vz_abs_n,mean_vz_signed,mean_vz_signed_sd,mean_vz_signed_sem,mean_vz_signed_n,peak_vz_abs,peak_vz_abs_sd,peak_vz_abs_sem,peak_vz_abs_n,time_to_peak_min,time_to_peak_min_sd,time_to_peak_min_sem,time_to_peak_min_n,auc_vz_abs,auc_vz_abs_sd,auc_vz_abs_sem,auc_vz_abs_n,excess_auc_vz_abs,excess_auc_vz_abs_sd,excess_auc_vz_abs_sem,excess_auc_vz_abs_n,directionality_index,directionality_index_sd,directionality_index_sem,directionality_index_n,active_transport_fraction,active_transport_fraction_sd,active_transport_fraction_sem,active_transport_fraction_n,matched_active_transport_fraction,matched_active_transport_fraction_sd,matched_active_transport_fraction_sem,matched_active_transport_fraction_n,longest_active_streak_min,longest_active_streak_min_sd,longest_active_streak_min_sem,longest_active_streak_min_n,onset_time_after_motor_min,onset_time_after_motor_min_sd,onset_time_after_motor_min_sem,onset_time_after_motor_min_n,net_z_displacement,net_z_displacement_sd,net_z_displacement_sem,net_z_displacement_n,abs_net_z_displacement,abs_net_z_displacement_sd,abs_net_z_displacement_sem,abs_net_z_displacement_n,mass_normalized_auc,mass_normalized_auc_sd,mass_normalized_auc_sem,mass_normalized_auc_n,mass_retention,mass_retention_sd,mass_retention_sem,mass_retention_n,mean_swirl_rate_abs,mean_swirl_rate_abs_sd,mean_swirl_rate_abs_sem,mean_swirl_rate_abs_n,swirl_penalty,swirl_penalty_sd,swirl_penalty_sem,swirl_penalty_n,seed_zone_mass_fraction_motor_onset,seed_zone_mass_fraction_motor_onset_sd,seed_zone_mass_fraction_motor_onset_sem,seed_zone_mass_fraction_motor_onset_n,seed_zone_mass_fraction_final,seed_zone_mass_fraction_final_sd,seed_zone_mass_fraction_final_sem,seed_zone_mass_fraction_final_n,seed_zone_retention,seed_zone_retention_sd,seed_zone_retention_sem,seed_zone_retention_n,seed_zone_mass_fraction_mean,seed_zone_mass_fraction_mean_sd,seed_zone_mass_fraction_mean_sem,seed_zone_mass_fraction_mean_n,chewer_band_mass_fraction_motor_onset,chewer_band_mass_fraction_motor_onset_sd,chewer_band_mass_fraction_motor_onset_sem,chewer_band_mass_fraction_motor_onset_n,chewer_band_mass_fraction_final,chewer_band_mass_fraction_final_sd,chewer_band_mass_fraction_final_sem,chewer_band_mass_fraction_final_n,chewer_band_mass_fraction_gain,chewer_band_mass_fraction_gain_sd,chewer_band_mass_fraction_gain_sem,chewer_band_mass_fraction_gain_n,chewer_band_mass_fraction_mean,chewer_band_mass_fraction_mean_sd,chewer_band_mass_fraction_mean_sem,chewer_band_mass_fraction_mean_n,bottom_half_mass_fraction_motor_onset,bottom_half_mass_fraction_motor_onset_sd,bottom_half_mass_fraction_motor_onset_sem,bottom_half_mass_fraction_motor_onset_n,bottom_half_mass_fraction_final,bottom_half_mass_fraction_final_sd,bottom_half_mass_fraction_final_sem,bottom_half_mass_fraction_final_n,bottom_half_mass_fraction_gain,bottom_half_mass_fraction_gain_sd,bottom_half_mass_fraction_gain_sem,bottom_half_mass_fraction_gain_n,bottom_half_mass_fraction_mean,bottom_half_mass_fraction_mean_sd,bottom_half_mass_fraction_mean_sem,bottom_half_mass_fraction_mean_n,axial_spread_entropy_motor_onset,axial_spread_entropy_motor_onset_sd,axial_spread_entropy_motor_onset_sem,axial_spread_entropy_motor_onset_n,axial_spread_entropy_final,axial_spread_entropy_final_sd,axial_spread_entropy_final_sem,axial_spread_entropy_final_n,axial_spread_entropy_gain,axial_spread_entropy_gain_sd,axial_spread_entropy_gain_sem,axial_spread_entropy_gain_n,axial_spread_entropy_mean,axial_spread_entropy_mean_sd,axial_spread_entropy_mean_sem,axial_spread_entropy_mean_n,speckle_length_proxy_motor_onset_um,speckle_length_proxy_motor_onset_um_sd,speckle_length_proxy_motor_onset_um_sem,speckle_length_proxy_motor_onset_um_n,speckle_length_proxy_final_um,speckle_length_proxy_final_um_sd,speckle_length_proxy_final_um_sem,speckle_length_proxy_final_um_n,top_bias_final,top_bias_final_sd,top_bias_final_sem,top_bias_final_n,nematic_xy_final,nematic_xy_final_sd,nematic_xy_final_sem,nematic_xy_final_n
baseline,Baseline chewing,large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,5,mean,,1.0,1.0,0.0170920901009658,0.011048252922643338,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.004018401668181864,0.00018439989877882588,8.246614174270701e-05,5,0.0005733745886349164,0.0009616168619026221,0.00043004813430485813,5,0.03365335390922193,0.009865990584250505,0.004412205122351399,5,0.06000000000000001,0.10839741694339398,0.04847679857416328,5,1.6571019484070764,0.06617158698480473,0.02959283333541274,5,0.14758164555328954,0.05486430016229635,0.024536060940169475,5,1.5613826985770565,0.3417126917001315,0.15281856148318446,5,0.022695035460992906,0.003171727627659276,0.0014184397163120566,5,0.05106382978723405,0.010519430478149874,0.004704432326745247,5,0.15999999999999942,0.06519202405202625,0.029154759474226393,5,0.0,0.0,0.0,1,2.577544741290461,0.5040687309126995,0.22542638953056915,5,2.577544741290461,0.5040687309126995,0.22542638953056915,5,0.0014210464042871437,6.265129591788574e-05,2.801851131016952e-05,5,1.7927726723244661,0.04264743972668243,0.019072514859037392,5,0.004675017261323563,0.0029261123492266045,0.0013085972245344582,5,1.1579153054651528,0.692840090450261,0.30984750795677724,5,0.39971472302382793,0.061203280512153485,0.027370939134232667,5,0.5825708550660214,0.023165884907943433,0.010360098682619594,5,1.4792377946690425,0.18241346095309602,0.08157777974042525,5,0.5438636930121075,0.03500124992628937,0.015653034826528505,5,0.1175212591205325,0.014450191171139467,0.006462321949307029,5,0.054778973484231885,0.00860160722603786,0.0038467556946348105,5,-0.06274228563630062,0.008299540541964577,0.0037116673667696477,5,0.07393709099577864,0.008037080767125027,0.0035942917871895435,5,0.33958066831918604,0.04334836956403465,0.01938598021179288,5,0.1924868816140021,0.022006908786280883,0.009841788804152289,5,-0.14709378670518394,0.022619403627830482,0.010115704824466863,5,0.23436637145564626,0.03107967021607168,0.01389925106428237,5,0.9498052629158591,0.004510726141490772,0.00201725805605174,5,0.920424027034346,0.004776206077900487,0.002135984292946629,5,-0.029381235881513267,0.002994526286632581,0.0013391928674640942,5,0.9305171230802383,0.006939434458830288,0.003103409435069798,5,1166.8,38.3301447949261,17.141761869772896,5,2091.2,64.00937431345506,28.625862432422885,5,0.6793229938795944,0.030923646471053307,0.013829475124289335,5,0.06792288599767464,0.028300676957892283,0.012656447497421819,5
baseline,Baseline chewing,large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,5,mean,,1.0,1.0,0.0170920901009658,0.011048252922643338,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.011494839706845107,0.0037097275074345283,0.0016590405769248923,5,-0.008580937891203521,0.0032063322872211064,0.0014339153905357548,5,0.054338280441445196,0.015182274680688255,0.00678971964781857,5,1.85,1.4675660121439171,0.656315472924416,5,4.825959341259489,1.5676627403191792,0.701080090629457,5,1.8954001134258114,1.1645536089506714,0.5208042066112817,5,0.24254614931658872,0.25532857349794613,0.11418640938789176,5,0.21843971631205675,0.13450892637697606,0.06015422059188659,5,0.36879432624113473,0.14986203268876197,0.06702033846767347,5,0.5899999999999979,0.28591956910991495,0.12786711852544377,5,0.7999999999999999,0.879630604287959,0.3933827652554189,5,-0.16814235427980567,1.2606439774595302,0.5637771258050444,5,0.9700778310505104,0.6695142299935465,0.2994158660337997,5,0.0041058701991281725,0.0013118993722219226,0.0005866992351855037,5,1.752022695683058,0.05098399165938804,0.02280073422293479,5,0.01036061871288658,0.00606903077331408,0.00271415307333368,5,1.1452690597494992,1.034153698381174,0.4624875937526239,5,0.3502882361535497,0.03705129119044073,0.016569841151192918,5,0.3882990374025369,0.02895172863903228,0.012947606660600729,5,1.1225321798179284,0.17763298355777316,0.07943988525625664,5,0.3888657002296608,0.03421237619613613,0.015300239769271213,5,0.1459343269299288,0.04035993832781512,0.01804951313373876,5,0.1754059014914607,0.07559305938159253,0.03380624388088382,5,0.029471574561531887,0.06472660125939614,0.02894661607370665,5,0.1666729195430221,0.051925951535368206,0.023221991485888577,5,0.3715842085185888,0.04620817285901149,0.0206649231257621,5,0.34810689109352455,0.08427482561944707,0.0376888477754049,5,-0.02347731742506425,0.05420407296977319,0.02424079836355435,5,0.35139760090652367,0.06782662255500835,0.030332987743443826,5,0.9536693471587385,0.01218939848894921,0.00545126472522473,5,0.967916138863254,0.019220822071602965,0.00859581294710651,5,0.014246791704515416,0.021735026014363622,0.009720199132168676,5,0.9650718380755936,0.01229322836007345,0.005497698855210499,5,1174.4,48.690861565595654,21.77521526874074,5,2055.6,27.254357449773053,12.188519188154071,5,0.36024981602713174,0.18074194557259174,0.08083025533717646,5,0.04827793013948686,0.02793588774523661,0.012493308802030477,5
ultra,2x chewers + 2x rate,large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,5,mean,,1.0,1.0,0.02092663534421264,0.018644893570798578,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.004949763809112866,0.0004968591409725431,0.00022220216289135146,5,0.0020448940803491867,0.0010735210264831117,0.00048009319809831793,5,0.03189745279959212,0.00705659340903054,0.003155804510433853,5,0.16,0.1557241150239744,0.06964194138592061,5,2.0552586475485137,0.20222747010221537,0.09043887401327198,5,0.10252471660371845,0.057346335245728214,0.025646060773988077,5,1.3504434310483588,0.23141695716143912,0.10349280947182693,5,0.032624113475177303,0.014706695995267888,0.006577034393968584,5,0.05106382978723405,0.026250717054357088,0.011739677558331097,5,0.17999999999999935,0.06708203932499346,0.029999999999999895,5,0.5000000000000001,0.2828427124746191,0.20000000000000007,2,2.787153922467838,0.6235568754046383,0.2788631122484276,5,2.787153922467838,0.6235568754046383,0.2788631122484276,5,0.0017786823718705207,0.00019049386011887144,8.519144410442654e-05,5,1.7306143500126456,0.030079159490298168,0.013451809065272925,5,0.00516237582790676,0.002642096208155103,0.0011815813449058488,5,1.024738487720279,0.43326560499885086,0.19376226901800064,5,0.42139975266112717,0.04507328439471797,0.02015738557515397,5,0.6167217819586543,0.014431068200276814,0.006453769896750901,5,1.4745257620795331,0.1304272431369,0.058328836354400254,5,0.5800750086529969,0.025026189596661308,0.011192052231186545,5,0.08525117217005086,0.01799238023224994,0.008046437055266864,5,0.00040424549692168795,0.0005535370036072397,0.00024754927362546686,5,-0.08484692667312915,0.018124200491802477,0.008105388867501092,5,0.017219815932768445,0.0033952668726288694,0.0015184095057902544,5,0.30277467160948074,0.033689681306508755,0.0150664835083315,5,0.15319007122719128,0.012917949151903823,0.005777082486708541,5,-0.1495846003822895,0.028902701859046764,0.012925681218047621,5,0.18807134130717604,0.019539606238125874,0.008738377560405679,5,0.9364257453730861,0.005083835124453946,0.0022735601849360253,5,0.8899246554816929,0.0032906242101315556,0.001471611884452142,5,-0.04650108989139341,0.004783075561768898,0.0021390564195266503,5,0.9016381336120917,0.004544805931331974,0.002032499001400507,5,1156.8,42.67551991481768,19.085072700935672,5,2001.2,52.28001530221658,23.380333616097097,5,0.4471907949171527,0.029455720624929748,0.0131729987287171,5,0.05112946178429754,0.0405169352335167,0.018119724284419932,5
ultra,2x chewers + 2x rate,large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,5,mean,,1.0,1.0,0.02092663534421264,0.018644893570798578,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.009945794630843835,0.002861922281577643,0.0012798905535857806,5,-0.004603764805971578,0.0032401025339096807,0.0014490179039782726,5,0.059478968238036264,0.021618034329388126,0.009667878860087185,5,2.47,2.436595986206987,1.0896788517723925,5,4.183464522187218,1.2023085721822735,0.5376887394660552,5,0.7956296294362313,0.723170318342496,0.3234115982247968,5,0.42903063765975363,0.34844160496232696,0.15582782297697823,5,0.1177304964539007,0.06453511016214086,0.028860978651596886,5,0.13333333333333333,0.06449612791143068,0.028843545259096107,5,0.23999999999999916,0.10839741694339361,0.048476798574163114,5,0.8899999999999999,0.8940078299433399,0.399812456034076,5,1.2368149298688504,1.3045844099043222,0.5834278845865029,5,1.4850680537840106,0.9259025545575702,0.4140762105062869,5,0.0036691325598254554,0.0011565082713160028,0.0005172062222406704,5,1.621929380139703,0.0701777962700706,0.031384464594201814,5,0.01214404809832518,0.00753229490601582,0.0033685446872853526,5,1.195355753726273,0.572382763011725,0.25597735344867384,5,0.3617394937486046,0.07617498518995659,0.034066489013956536,5,0.4412998732341702,0.06239138152608604,0.02790227406049059,5,1.250337227011224,0.23748586184081266,0.10620690615423609,5,0.42962859776531903,0.06761955070886867,0.03024038239860489,5,0.1147363148848591,0.024218921743433996,0.010831031072013227,5,0.036022834572076425,0.028508054154824606,0.012749189399286626,5,-0.07871348031278266,0.03333560018297223,0.014908133615976066,5,0.06690867685372769,0.019436512875369353,0.008692272806975154,5,0.3465308441720605,0.042675882885066053,0.019085235026165506,5,0.2813844931476307,0.08238121815814177,0.036842000774169,5,-0.06514635102442981,0.07270050989033196,0.032512656422735604,5,0.2993441439458254,0.06777474466880154,0.03030978724742634,5,0.9429541228227383,0.010753468101197962,0.004809097133630846,5,0.9220813656849322,0.012724004145439085,0.005690347643038183,5,-0.020872757137806185,0.02029150395527263,0.00907463644193909,5,0.9337659849871962,0.006845005589136555,0.0030611795607350663,5,1147.6,40.973161947792114,18.32375507367417,5,1862.8,131.97423991067348,59.02067434382633,5,0.43961115867265477,0.2117358276897483,0.09469114079729189,5,0.08715484897154373,0.05147958864520611,0.02302237193288143,5
