case,n,dx_mean,dx_sem,dx_4to60_mean,dx_4to60_sem,net_displacement_mean,net_displacement_sem,x_velocity_mean,x_velocity_sem,x_velocity_4to60_mean,x_velocity_4to60_sem,actin_count_mean,actin_count_sem,actin_total_len_mean,actin_total_len_sem,actin_avg_len_mean,actin_avg_len_sem,actin_max_len_mean,actin_max_len_sem,chewer_count_mean,chewer_count_sem,bound_chewer_count_mean,bound_chewer_count_sem,bound_chewer_fraction_mean,bound_chewer_fraction_sem,plus_end_x_mean_mean,plus_end_x_mean_sem,minus_end_x_mean_mean,minus_end_x_mean_sem,plus_minus_x_delta_mean,plus_minus_x_delta_sem
01_symmetric_short_no_chewer,3,-0.16926666666666654,0.15415094694631115,-0.12636666666666643,0.12006915137166217,0.24032245449269704,0.10509427799188732,-0.002821111111111109,0.0025691824491051863,-0.002256547619047615,0.0021440919887796817,24.0,0.0,60.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,nan,nan,-3.1289277777777778,0.16199865619322454,-3.1694277777777775,0.15418452885135436,0.04050000000000006,0.027951655416258863
02_symmetric_short_one_sided_chewer,3,-0.2258,0.09040471964080936,-0.26180000000000003,0.07629740056734137,0.25344250676647134,0.08230251848291306,-0.0037633333333333334,0.001506745327346823,-0.004675000000000001,0.0013624535815596676,24.0,0.0,60.0,0.0,2.5,0.0,2.5,0.0,36.0,0.0,23.333333333333332,2.905932629027116,0.648148148148148,0.08072035080630877,-3.2039291666666663,0.11418151325302185,-3.2258125,0.09046368903358278,0.021883333333333848,0.02753239327407183
03_cap_short_no_chewer,3,-0.6715666666666666,0.07772070366239477,0.22350000000000003,0.06388200059484675,0.7241557748535049,0.09712558128436959,-0.011192777777777779,0.0012953450610399134,0.003991071428571429,0.0011407500106222635,24.0,0.0,60.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,nan,nan,-5.850656944444445,0.08342965687694572,-3.7670347222222222,0.07772552432475889,-2.0836222222222225,0.005749498938178601
04_cap_short_one_sided_chewer,3,-0.8174000000000001,0.1686119904791275,0.03306666666666658,0.15796915662383115,0.8705312416549562,0.16998430903470774,-0.013623333333333336,0.0028101998413187917,0.000590476190476189,0.002820877796854128,24.0,0.0,60.0,0.0,2.5,0.0,2.5,0.0,36.0,0.0,16.0,8.18535277187245,0.4444444444444444,0.22737091032979026,-5.937904166666667,0.18035519656245907,-3.909738888888889,0.16856544395754694,-2.0281652777777777,0.02281123909926441
05_no_nucleator_fixed_chewer_control,3,-0.05429999999999987,0.3273176795306562,-0.10589999999999981,0.44185430856788077,1.2886778859743369,0.21130223559400288,-0.0009049999999999973,0.00545529465884427,-0.0018910714285714253,0.007890255510140729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
06_symmetric_short_delayed_one_sided_chewer,3,0.015600000000000058,0.11864439865974857,0.04553333333333335,0.1172388777003792,0.3256585394267793,0.05186244160477243,0.00026000000000000084,0.0019774066443291427,0.0008130952380952386,0.002093551387506772,24.0,0.0,60.0,0.0,2.5,0.0,2.5,0.0,36.0,0.0,17.0,7.211102550927979,0.47222222222222227,0.20030840419244386,-2.988984722222222,0.15234159641561057,-2.9844458333333335,0.11869316651677049,-0.004538888888888722,0.05527623943978938
07_cap_short_delayed_one_sided_chewer,3,-0.7299666666666668,0.0488625737258192,0.17166666666666655,0.07013485422939009,0.793794245822185,0.04145677648419967,-0.012166111111111112,0.0008143762287636532,0.0030654761904761883,0.0012524081112391086,24.0,0.0,60.0,0.0,2.5,0.0,2.5,0.0,36.0,0.0,18.333333333333332,4.702245326555294,0.5092592592592592,0.13061792573764708,-5.901109722222222,0.0365531577438851,-3.824898611111111,0.04806645316385549,-2.076211111111111,0.011879466346559045
