case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
01_symmetric_short_no_chewer,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_symmetric_short_no_chewer,1,1.0,0.016666666666666666,3,-0.0005333333333332746,0.013825861435890466,0.004100000000000002,0.039214835628029014,-0.014766666666666666,0.004039939493496296,0.05770183739780136,0.014074882372232405
01_symmetric_short_no_chewer,2,2.0,0.03333333333333333,3,-0.011933333333333351,0.012976431627291807,0.015733333333333332,0.03113584929163024,-0.007666666666666666,0.003367161679779838,0.05066176215678359,0.009498399562632289
01_symmetric_short_no_chewer,3,3.0,0.05,3,-0.0049666666666666375,0.017651471452670667,0.018033333333333332,0.01879985224528226,-0.006899999999999999,0.005612783029240782,0.039893782936846124,0.009974703412160784
01_symmetric_short_no_chewer,4,4.0,0.06666666666666667,3,-0.042900000000000084,0.0350432589808653,0.020066666666666663,0.016703825243870873,0.002366666666666665,0.01617429373350743,0.06752353816097394,0.024764542470605323
01_symmetric_short_no_chewer,5,5.0,0.08333333333333333,3,-0.07429999999999988,0.03931653596134832,-0.0026666666666666666,0.008949177491690384,-0.002766666666666667,0.009521962916215215,0.07959313358058595,0.036285532609358524
01_symmetric_short_no_chewer,6,6.0,0.1,3,-0.08803333333333334,0.026203328880973285,-0.0018666666666666664,0.013571088550460662,0.00023333333333333366,0.011258379595266413,0.09398480702822772,0.021393254947920767
01_symmetric_short_no_chewer,7,7.0,0.11666666666666667,3,-0.07553333333333345,0.017278245795733314,-0.016866666666666665,0.03597732310466939,0.007899999999999999,0.0014468356276140472,0.09467369105945801,0.011812469848532545
01_symmetric_short_no_chewer,8,8.0,0.13333333333333333,3,-0.03756666666666675,0.02379610145474341,-0.021599999999999998,0.023596821819897695,-0.0087,0.009529602999775665,0.06618247403992727,0.0007550264744866389
01_symmetric_short_no_chewer,9,9.0,0.15,3,-0.04860000000000012,0.0219554852675438,-0.03783333333333334,0.02732552734064696,0.0009666666666666665,0.005509184250967752,0.07887508726065284,0.006750331212531114
01_symmetric_short_no_chewer,10,10.0,0.16666666666666666,3,-0.03236666666666673,0.03938503663970768,-0.03836666666666667,0.03238910996684602,0.0104,0.003815756805667783,0.08621422398481828,0.014568131589688019
01_symmetric_short_no_chewer,11,11.0,0.18333333333333332,3,-0.0650666666666666,0.04819530866980499,-0.024466666666666664,0.03428708859679463,-0.0020333333333333336,0.006516730604971928,0.10569049403082302,0.01933472012797047
01_symmetric_short_no_chewer,12,12.0,0.2,3,-0.03279999999999994,0.06155926683557334,-0.0547,0.03819253853830615,0.0011666666666666672,0.011929282366419944,0.11083369738427795,0.03582055874399226
01_symmetric_short_no_chewer,13,13.0,0.21666666666666667,3,-0.02699999999999984,0.08442779952914406,-0.0496,0.04781756999262928,0.0008666666666666661,0.007732255672038902,0.12915821687652526,0.052234032711488965
01_symmetric_short_no_chewer,14,14.0,0.23333333333333334,3,-0.030733333333333352,0.09797646542806981,-0.0421,0.04170000000000001,0.012566666666666669,0.008379803763281759,0.13990044129374343,0.05531606092484566
01_symmetric_short_no_chewer,15,15.0,0.25,3,-0.026833333333333265,0.0983086522698339,-0.04596666666666666,0.02703931294327658,0.005633333333333334,0.007691192654227591,0.13352681387329468,0.054520760465684964
01_symmetric_short_no_chewer,16,16.0,0.26666666666666666,3,-0.03919999999999998,0.11876139945285252,-0.07656666666666667,0.03082835995926118,0.005666666666666667,0.006657660583451552,0.1741800496053828,0.060375824298581536
01_symmetric_short_no_chewer,17,17.0,0.2833333333333333,3,-0.048366666666666745,0.11440886232184018,-0.0775,0.023282611537368398,0.012533333333333334,0.008731997353285087,0.16275569881209065,0.06866106066828577
01_symmetric_short_no_chewer,18,18.0,0.3,3,-0.06483333333333337,0.09723540735989364,-0.10636666666666666,0.04336935682150603,0.0026999999999999993,0.007623647421018368,0.16196686578994626,0.07771339777085272
01_symmetric_short_no_chewer,19,19.0,0.31666666666666665,3,-0.07346666666666657,0.10728849477512074,-0.09113333333333333,0.044268586805744976,-0.008133333333333333,0.01612165555325438,0.17620743404822783,0.07134633903060274
01_symmetric_short_no_chewer,20,20.0,0.3333333333333333,3,-0.08166666666666655,0.10465935749425903,-0.051666666666666666,0.047451882060789874,-0.0025999999999999994,0.008320056089554525,0.1634096672248332,0.06779343868498362
01_symmetric_short_no_chewer,21,21.0,0.35,3,-0.10156666666666665,0.08844388679332849,-0.056600000000000004,0.033282878481285236,0.010666666666666666,0.014584733266139786,0.14589854620822182,0.07291197048837045
01_symmetric_short_no_chewer,22,22.0,0.36666666666666664,3,-0.08859999999999986,0.08907541748428689,-0.07106666666666667,0.02649970649732643,0.012833333333333335,0.007059351559771226,0.14061532501403198,0.07302552192395292
01_symmetric_short_no_chewer,23,23.0,0.38333333333333336,3,-0.0693666666666668,0.09265769141187247,-0.06273333333333334,0.021566743946280918,-0.007133333333333334,0.003714984671719537,0.12844369755373122,0.07221167919870133
01_symmetric_short_no_chewer,24,24.0,0.4,3,-0.08230000000000004,0.1126819861379804,-0.08476666666666667,0.015337245877637587,-0.006866666666666667,0.009557951895905548,0.16429427288832732,0.08081105090300415
01_symmetric_short_no_chewer,25,25.0,0.4166666666666667,3,-0.06503333333333335,0.10739423220597602,-0.06503333333333333,0.01479688405637409,-0.017666666666666667,0.006737292565349311,0.14873771197043348,0.07156672773642908
01_symmetric_short_no_chewer,26,26.0,0.43333333333333335,3,-0.08733333333333348,0.1001724901246733,-0.05453333333333333,0.029645985300617763,-0.0019666666666666665,0.011687647800610317,0.13233122395969193,0.08715886978767527
01_symmetric_short_no_chewer,27,27.0,0.45,3,-0.10766666666666665,0.10649310358474447,-0.0575,0.04209350702107552,-0.004866666666666668,0.005128460891057971,0.1539862127829462,0.09350984691312429
01_symmetric_short_no_chewer,28,28.0,0.4666666666666667,3,-0.11413333333333349,0.12055700357553317,-0.0727,0.03698905243447039,-0.007066666666666666,0.011505988778795927,0.1737747840796616,0.10058108110226388
01_symmetric_short_no_chewer,29,29.0,0.48333333333333334,3,-0.11853333333333331,0.11333396568451033,-0.03943333333333334,0.04608515065735504,-0.009433333333333334,0.007410877890716532,0.17508763512406153,0.08684798988269714
01_symmetric_short_no_chewer,30,30.0,0.5,3,-0.12810000000000002,0.12279377020028341,-0.023299999999999998,0.051662268630016626,-0.0032333333333333333,0.014072234285207796,0.201203380932104,0.07864734420656136
01_symmetric_short_no_chewer,31,31.0,0.5166666666666667,3,-0.09850000000000003,0.11806366926366473,-0.0237,0.044868808765109874,0.0126,0.012450033467157161,0.18497486604867688,0.06489023654195111
01_symmetric_short_no_chewer,32,32.0,0.5333333333333333,3,-0.10799999999999994,0.10971810850234953,-0.034499999999999996,0.04353404797779933,-0.011000000000000001,0.013777155003846043,0.1836039875620924,0.061282130693344705
01_symmetric_short_no_chewer,33,33.0,0.55,3,-0.10746666666666667,0.11074060281175603,0.004400000000000002,0.021478361203779026,-0.0026,0.005702630971753301,0.1676383477381238,0.06703443530864767
01_symmetric_short_no_chewer,34,34.0,0.5666666666666667,3,-0.10043333333333315,0.10250263953240966,-0.021699999999999997,0.03840134546253989,-0.011633333333333334,0.019124533400263072,0.16440582919838428,0.06464598463526174
01_symmetric_short_no_chewer,35,35.0,0.5833333333333334,3,-0.129,0.10308861883512327,-0.04083333333333333,0.04056518759286643,-0.009699999999999999,0.0025865034312755122,0.1744825202648671,0.07911155664214586
01_symmetric_short_no_chewer,36,36.0,0.6,3,-0.11280000000000001,0.0968405562423788,-0.032933333333333335,0.04263567885129907,-0.010166666666666666,0.0002403700850309327,0.16579297003515178,0.06639428095447401
01_symmetric_short_no_chewer,37,37.0,0.6166666666666667,3,-0.09849999999999988,0.10888068393123432,-0.02706666666666667,0.07369761039394547,-0.009166666666666667,0.013186651499822757,0.19460113892475275,0.06152128383408895
01_symmetric_short_no_chewer,38,38.0,0.6333333333333333,3,-0.0758666666666666,0.12533168438631595,-0.0715,0.06376425330857408,-0.0018666666666666664,0.0023333333333333335,0.2051577049213087,0.06457752232041689
01_symmetric_short_no_chewer,39,39.0,0.65,3,-0.078,0.1216501952320669,-0.0366,0.07706691897305874,-0.011533333333333333,0.006476195728289188,0.2047835496603337,0.059917934662810354
01_symmetric_short_no_chewer,40,40.0,0.6666666666666666,3,-0.0841333333333334,0.13778369924551218,-0.011133333333333335,0.05024315320961101,0.0020666666666666663,0.003794879591121583,0.2001992521753023,0.07132021485916999
01_symmetric_short_no_chewer,41,41.0,0.6833333333333333,3,-0.1069,0.1512635228114609,-0.036,0.06124225121052731,-0.0036666666666666666,0.013841042028851891,0.23292696514585587,0.07787093673061847
01_symmetric_short_no_chewer,42,42.0,0.7,3,-0.09509999999999996,0.1456036057245836,-0.008900000000000003,0.05262195359353357,-0.005066666666666666,0.0005206833117271105,0.210255853796819,0.08025231858801342
01_symmetric_short_no_chewer,43,43.0,0.7166666666666667,3,-0.1069,0.1335698693568276,-0.03916666666666666,0.05026669982315441,-0.0075,0.010068266980965494,0.21597392233975263,0.060461536819628146
01_symmetric_short_no_chewer,44,44.0,0.7333333333333333,3,-0.09673333333333349,0.1341668405795975,-0.03276666666666666,0.048184241315092954,0.012333333333333333,0.014500153255895072,0.20834194289878694,0.06419568324983126
01_symmetric_short_no_chewer,45,45.0,0.75,3,-0.11476666666666668,0.14100507477077248,-0.04126666666666667,0.0553745529201917,-0.0083,0.011730870953741385,0.2200923432193674,0.07960950672776122
01_symmetric_short_no_chewer,46,46.0,0.7666666666666667,3,-0.1300666666666667,0.13005196824517667,-0.03186666666666667,0.04967757150979817,-0.010966666666666666,0.01764958293495282,0.21250543609144934,0.07835909742413322
01_symmetric_short_no_chewer,47,47.0,0.7833333333333333,3,-0.1102,0.12497035648504812,-0.04096666666666667,0.03802531320639509,0.012266666666666667,0.014505324692830715,0.19795043141044602,0.06832365392411684
01_symmetric_short_no_chewer,48,48.0,0.8,3,-0.1297,0.1215434490213273,-0.044000000000000004,0.024465758384594038,0.009366666666666667,0.006419847696358883,0.18368168327849346,0.0892526168467322
01_symmetric_short_no_chewer,49,49.0,0.8166666666666667,3,-0.14193333333333338,0.1196913855621104,-0.052833333333333336,0.028603166102917892,-0.009233333333333333,0.0058771686304811025,0.19727078525886244,0.08503923785529381
01_symmetric_short_no_chewer,50,50.0,0.8333333333333334,3,-0.16959999999999997,0.14573981382358542,-0.040933333333333335,0.021552597162394247,0.004566666666666666,0.004902153721693262,0.23036906679341548,0.10209780375877547
01_symmetric_short_no_chewer,51,51.0,0.85,3,-0.1525333333333334,0.15345045164844298,-0.0032999999999999995,0.02389776837558966,-0.01593333333333333,0.008820493813336707,0.22498954482570085,0.10320555876289807
01_symmetric_short_no_chewer,52,52.0,0.8666666666666667,3,-0.15236666666666684,0.16294709093581403,0.026866666666666667,0.027646237437388196,-0.012366666666666666,0.002194943684420577,0.2215062114610452,0.12179311341541736
01_symmetric_short_no_chewer,53,53.0,0.8833333333333333,3,-0.17813333333333325,0.1521322268437705,0.029566666666666668,0.035109558685792554,0.006066666666666667,0.004933671159604288,0.2317375449675775,0.11777661111697847
