xlink_regime,n_runs_used,vz_abs_mean_mean,vz_abs_mean_sem
1:4,10,0.001969898121570407,3.105892828505175e-05
1:8,10,0.0020186364679245705,2.3732368961977133e-05
1:16,10,0.0019754658735002795,3.023003516412306e-05
