scenario,condition,run_dir,run_path,status,frame_mode,growth_end_min,motor_onset_min
large_long,nomotor_xlink,r0001,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0001,ok,with_initial,1.0,1.0
large_long,nomotor_xlink,r0002,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0002,ok,with_initial,1.0,1.0
large_long,nomotor_xlink,r0003,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0003,ok,with_initial,1.0,1.0
large_long,nomotor_xlink,r0004,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0004,ok,with_initial,1.0,1.0
large_long,nomotor_xlink,r0005,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0005,ok,with_initial,1.0,1.0
large_long,rotatable_xlink,r0006,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0006,ok,with_initial,1.0,1.0
large_long,rotatable_xlink,r0007,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0007,ok,with_initial,1.0,1.0
large_long,rotatable_xlink,r0008,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0008,ok,with_initial,1.0,1.0
large_long,rotatable_xlink,r0009,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0009,ok,with_initial,1.0,1.0
large_long,rotatable_xlink,r0010,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0010,ok,with_initial,1.0,1.0
small_long,nomotor_xlink,r0011,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0011,ok,with_initial,1.0,1.0
small_long,nomotor_xlink,r0012,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0012,ok,with_initial,1.0,1.0
small_long,nomotor_xlink,r0013,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0013,ok,with_initial,1.0,1.0
small_long,nomotor_xlink,r0014,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0014,ok,with_initial,1.0,1.0
small_long,nomotor_xlink,r0015,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0015,ok,with_initial,1.0,1.0
small_long,rotatable_xlink,r0016,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0016,ok,with_initial,1.0,1.0
small_long,rotatable_xlink,r0017,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0017,ok,with_initial,1.0,1.0
small_long,rotatable_xlink,r0018,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0018,ok,with_initial,1.0,1.0
small_long,rotatable_xlink,r0019,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0019,ok,with_initial,1.0,1.0
small_long,rotatable_xlink,r0020,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job11/save/r0020,ok,with_initial,1.0,1.0
