scenario,scenario_label,scenario_short,condition,condition_label,condition_short,motor_mode,include_xlinks,n_clusters,motors_per_cluster,total_motors,n_replicates,run_dir,run_path,growth_end_min,motor_onset_min,threshold_vz_abs,threshold_vz_abs_matched,zmin,zmax,scenario_z_low,scenario_z_high,chewer_zone_bottom,chewer_zone_top,mean_vz_abs,mean_vz_abs_sd,mean_vz_abs_sem,mean_vz_abs_n,mean_vz_signed,mean_vz_signed_sd,mean_vz_signed_sem,mean_vz_signed_n,peak_vz_abs,peak_vz_abs_sd,peak_vz_abs_sem,peak_vz_abs_n,time_to_peak_min,time_to_peak_min_sd,time_to_peak_min_sem,time_to_peak_min_n,auc_vz_abs,auc_vz_abs_sd,auc_vz_abs_sem,auc_vz_abs_n,excess_auc_vz_abs,excess_auc_vz_abs_sd,excess_auc_vz_abs_sem,excess_auc_vz_abs_n,directionality_index,directionality_index_sd,directionality_index_sem,directionality_index_n,active_transport_fraction,active_transport_fraction_sd,active_transport_fraction_sem,active_transport_fraction_n,matched_active_transport_fraction,matched_active_transport_fraction_sd,matched_active_transport_fraction_sem,matched_active_transport_fraction_n,longest_active_streak_min,longest_active_streak_min_sd,longest_active_streak_min_sem,longest_active_streak_min_n,onset_time_after_motor_min,onset_time_after_motor_min_sd,onset_time_after_motor_min_sem,onset_time_after_motor_min_n,net_z_displacement,net_z_displacement_sd,net_z_displacement_sem,net_z_displacement_n,abs_net_z_displacement,abs_net_z_displacement_sd,abs_net_z_displacement_sem,abs_net_z_displacement_n,mass_normalized_auc,mass_normalized_auc_sd,mass_normalized_auc_sem,mass_normalized_auc_n,mass_retention,mass_retention_sd,mass_retention_sem,mass_retention_n,mean_swirl_rate_abs,mean_swirl_rate_abs_sd,mean_swirl_rate_abs_sem,mean_swirl_rate_abs_n,swirl_penalty,swirl_penalty_sd,swirl_penalty_sem,swirl_penalty_n,seed_zone_mass_fraction_motor_onset,seed_zone_mass_fraction_motor_onset_sd,seed_zone_mass_fraction_motor_onset_sem,seed_zone_mass_fraction_motor_onset_n,seed_zone_mass_fraction_final,seed_zone_mass_fraction_final_sd,seed_zone_mass_fraction_final_sem,seed_zone_mass_fraction_final_n,seed_zone_retention,seed_zone_retention_sd,seed_zone_retention_sem,seed_zone_retention_n,seed_zone_mass_fraction_mean,seed_zone_mass_fraction_mean_sd,seed_zone_mass_fraction_mean_sem,seed_zone_mass_fraction_mean_n,chewer_band_mass_fraction_motor_onset,chewer_band_mass_fraction_motor_onset_sd,chewer_band_mass_fraction_motor_onset_sem,chewer_band_mass_fraction_motor_onset_n,chewer_band_mass_fraction_final,chewer_band_mass_fraction_final_sd,chewer_band_mass_fraction_final_sem,chewer_band_mass_fraction_final_n,chewer_band_mass_fraction_gain,chewer_band_mass_fraction_gain_sd,chewer_band_mass_fraction_gain_sem,chewer_band_mass_fraction_gain_n,chewer_band_mass_fraction_mean,chewer_band_mass_fraction_mean_sd,chewer_band_mass_fraction_mean_sem,chewer_band_mass_fraction_mean_n,bottom_half_mass_fraction_motor_onset,bottom_half_mass_fraction_motor_onset_sd,bottom_half_mass_fraction_motor_onset_sem,bottom_half_mass_fraction_motor_onset_n,bottom_half_mass_fraction_final,bottom_half_mass_fraction_final_sd,bottom_half_mass_fraction_final_sem,bottom_half_mass_fraction_final_n,bottom_half_mass_fraction_gain,bottom_half_mass_fraction_gain_sd,bottom_half_mass_fraction_gain_sem,bottom_half_mass_fraction_gain_n,bottom_half_mass_fraction_mean,bottom_half_mass_fraction_mean_sd,bottom_half_mass_fraction_mean_sem,bottom_half_mass_fraction_mean_n,axial_spread_entropy_motor_onset,axial_spread_entropy_motor_onset_sd,axial_spread_entropy_motor_onset_sem,axial_spread_entropy_motor_onset_n,axial_spread_entropy_final,axial_spread_entropy_final_sd,axial_spread_entropy_final_sem,axial_spread_entropy_final_n,axial_spread_entropy_gain,axial_spread_entropy_gain_sd,axial_spread_entropy_gain_sem,axial_spread_entropy_gain_n,axial_spread_entropy_mean,axial_spread_entropy_mean_sd,axial_spread_entropy_mean_sem,axial_spread_entropy_mean_n,speckle_length_proxy_motor_onset_um,speckle_length_proxy_motor_onset_um_sd,speckle_length_proxy_motor_onset_um_sem,speckle_length_proxy_motor_onset_um_n,speckle_length_proxy_final_um,speckle_length_proxy_final_um_sd,speckle_length_proxy_final_um_sem,speckle_length_proxy_final_um_n,top_bias_final,top_bias_final_sd,top_bias_final_sem,top_bias_final_n,nematic_xy_final,nematic_xy_final_sd,nematic_xy_final_sem,nematic_xy_final_n
large_long,Large elongated,"Large
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,5,mean,,1.0,1.0,0.018338773097400677,0.015262299614915677,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.004587350252280115,0.00027159948206389957,0.00012146298090972286,5,0.0019801363054761565,0.0010048924153289378,0.0004494015501498913,5,0.02989974386007079,0.007076663728858128,0.0031647802303267827,5,0.12999999999999998,0.19874606914351786,0.08888194417315587,5,1.89321628469473,0.11565583542208098,0.051722861999660225,5,0.12117371454655283,0.06750092482212641,0.03018733128927551,5,1.6416539138335977,0.3583640911536562,0.16026529370290124,5,0.03546099290780142,0.01585863813829638,0.007092198581560283,5,0.05106382978723404,0.016172701065236,0.00723265179233019,5,0.21999999999999922,0.10368220676663824,0.046368092477478355,5,0.14999999999999997,0.21213203435596423,0.10606601717798211,4,3.1215513885472754,0.7676162000005357,0.34328840076625433,5,3.1215513885472754,0.7676162000005357,0.34328840076625433,5,0.0016126509729068295,0.00011106903398839374,4.9671582038656596e-05,5,1.7145422942750606,0.07875408518654962,0.03521989759658683,5,0.005536412320941646,0.003260614559301345,0.0014581911606046654,5,1.2016305396165174,0.6773707193709871,0.30292939489629217,5,0.3880363989468415,0.08055741631734017,0.03602637179546468,5,0.5995357511778595,0.03507121014873905,0.015684321989152202,5,1.5925984220124267,0.2942504686536395,0.13159281006414178,5,0.550060895037622,0.054851576215284414,0.024530370618077318,5,0.12003235509202317,0.019138581819496674,0.008559033988267234,5,0.021825768663520893,0.007684446543893883,0.003436588968322009,5,-0.0982065864285023,0.018262868347290975,0.008167403017734371,5,0.05379155584305806,0.008799451491788391,0.0039352343400701545,5,0.35390978698284437,0.06324918053723472,0.0282858934404827,5,0.17980713402521312,0.029598714884871993,0.013236947705841728,5,-0.17410265295763122,0.03790613203288527,0.016952137597922752,5,0.23317194219298312,0.040390553377048624,0.018063204599982882,5,0.9466120819966237,0.006685933256472936,0.0029900402509000037,5,0.904162066707961,0.012118524186061371,0.005419568773401707,5,-0.04245001528866275,0.010500654236726657,0.004696035336308395,5,0.9214722318675113,0.010715323961148111,0.004792038555611898,5,1174.8,31.035463586033316,13.879481258317977,5,2012.8,65.09377850455449,29.110822729699688,5,0.5701469900634664,0.08654288711599102,0.03870315571208933,5,0.04121239291941498,0.016534843679903453,0.0073946068931193785,5
large_long,Large elongated,"Large
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,23,12,276,5,mean,,1.0,1.0,0.018338773097400677,0.015262299614915677,-15.0,15.0,6.0,15.0,-15.0,-6.0,0.01100118075597181,0.00145885710671174,0.0006524207320132231,5,-0.0071239337991622605,0.0010005774913666608,0.00044747185749041246,5,0.05193313255691042,0.009603751426486985,0.004294928205727094,5,1.35,0.806225774829855,0.36055512754639896,5,4.61716958642872,0.6066142058770423,0.2712861200916238,5,1.1432936477344176,0.4015064155013716,0.17955912769266844,5,0.11705937180455006,0.08290520426304956,0.03707633448413684,5,0.1971631205673759,0.037326801040966716,0.0166930529020423,5,0.2581560283687943,0.0433146992470992,0.019370922388294555,5,0.4499999999999984,0.061237243569579235,0.027386127875258206,5,0.8099999999999999,0.7651797174520506,0.34219877264537346,5,0.4941489027010987,0.3503644449129672,0.156687743144875,5,0.515062398442325,0.3104393241014997,0.13883268631600842,5,0.00395265801316075,0.0005495785418260137,0.00024577899569963563,5,1.7082222077346914,0.08754120217616279,0.0391496157795905,5,0.015940116243330908,0.010385967411241807,0.0046447458287268385,5,1.4799455042227092,0.9759742023934187,0.43646893216756444,5,0.3719193769749771,0.040150260048441,0.017955742156521615,5,0.41520730875087536,0.031189918031920102,0.01394855538640396,5,1.1275372938882682,0.1607217700506091,0.07187696065945035,5,0.4253469315069901,0.03396137669265932,0.015187989378852644,5,0.12554558963718512,0.028706524387129433,0.012837947985475379,5,0.12362638558221839,0.037850813699048365,0.01692739848695048,5,-0.0019192040549667554,0.035793858641884974,0.01600750022005462,5,0.12781852175303243,0.043147476550643306,0.019296138124963315,5,0.36465355846383857,0.02733065004994401,0.012222638276186564,5,0.32721951286351675,0.021893223358027205,0.009790947135027008,5,-0.03743404560032191,0.013374844116329563,0.005981412126515201,5,0.3300896470536924,0.0363243122639046,0.016244726291603992,5,0.9513932447765544,0.007944774655295726,0.00355301123903174,5,0.9561882056236121,0.00675600709462365,0.003021378224009867,5,0.004794960847057439,0.006730819362133201,0.003010113927600322,5,0.954823393246893,0.01232354690743867,0.005511257721788035,5,1170.4,63.488581650561386,28.39295687314021,5,1996.8,94.97999789429352,42.476346358885436,5,0.4688634165761492,0.07869690402232296,0.035194325402538154,5,0.05627793241657693,0.026571655808463435,0.011883205732490274,5
small_long,Small elongated,"Small
elongated",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,5,mean,,1.0,1.0,0.018338773097400677,0.01963934095312581,-7.5,7.5,3.0,7.5,-7.5,-3.0,0.008080510716975966,0.001018996812593124,0.00045570922836276777,5,-0.0013161962441026061,0.000909421236387434,0.00040670554094884154,5,0.04772674032537601,0.025837932294606673,0.011555074601755528,5,1.47,1.9080749461171593,0.8533170571364433,5,3.353476533841389,0.42579171047212466,0.19041984177431595,5,0.15339403131451093,0.10452764191215794,0.04674618256866825,5,0.14425963601160396,0.10484360720092802,0.0468874865415123,5,0.06524822695035461,0.03303777219532515,0.0147749408907799,5,0.05106382978723405,0.025274510186107036,0.011303104574829238,5,0.10999999999999961,0.04183300132670363,0.01870828693386964,5,0.15000000000000002,0.14142135623730948,0.09999999999999998,2,-0.1455769954811011,0.5526947144058567,0.24717259044326556,5,0.4534972539978398,0.27365594296365203,0.12238265818270623,5,0.0261043319720685,0.005096045782111278,0.00227902095705038,5,1.4290519737646892,0.20949647131101426,0.09368967017955247,5,0.01005388438143048,0.005252993198426672,0.002349209975405216,5,1.3114894246368487,0.8852746098094104,0.39590684125768877,5,0.5468470760566932,0.10500586575159336,0.046960050771355955,5,0.5408541153226023,0.053573432334684944,0.02395876729766816,5,1.0103871944076186,0.16538110119774532,0.07396067689438608,5,0.5525990937152164,0.040124627139475816,0.01794427877114017,5,0.060559689373136084,0.07554528981277196,0.03378488068025609,5,0.01811314851663757,0.01796088389883969,0.0080323514667574,5,-0.04244654085649853,0.0607503367505646,0.027168376526053223,5,0.03903376223824589,0.03256277295144606,0.014562514771064967,5,0.18858283764153938,0.12851935453340285,0.057475602632216904,5,0.21638509832810718,0.07256649287661301,0.03245272219217219,5,0.02780226068656778,0.06900361814449743,0.030859356172906832,5,0.20520350204148996,0.058075962768885714,0.02597236012199507,5,0.7906938543155368,0.036878232661903466,0.016492447024413832,5,0.8304495412931076,0.018576600288801943,0.008307708207320673,5,0.03975568697757057,0.03376957277404189,0.015102212058776762,5,0.8233575113202296,0.012220807945118439,0.005465311461050869,5,131.2,20.717142660125695,9.264987857520374,5,184.4,14.240786495134317,6.368673331236262,5,0.32347561197263486,0.19465835502073897,0.08705386284293196,5,0.2229627049507835,0.10498575200063107,0.04695105562846912,5
small_long,Small elongated,"Small
elongated",rotatable_xlink,"Rotatable, + xlinks","Rotatable
+ xlinks",rotatable,1,6,12,72,5,mean,,1.0,1.0,0.018338773097400677,0.01963934095312581,-7.5,7.5,3.0,7.5,-7.5,-3.0,0.021732567801283707,0.0070704375490175065,0.003161995798054029,5,-0.009995850932755183,0.004767364587521767,0.0021320302582447832,5,0.2453410661757171,0.035059147812846025,0.015678927548547356,5,1.86,1.1604955837916833,0.5189894025893014,5,9.13766486524814,3.0002141502496835,1.341736557403012,5,4.764022835432849,2.497097677172396,1.1167360305228604,5,0.3506746829471582,0.15093797012165958,0.0675015123155726,5,0.26666666666666666,0.09667267637667368,0.04323333518901608,5,0.2482269503546099,0.10447460895500878,0.04672246550922158,5,0.3099999999999989,0.11401754250991339,0.05099019513592766,5,0.5299999999999999,0.4881085944746312,0.2182887995294307,5,-3.3276042485689907,1.9336331325584084,0.8647470255892926,5,3.3276042485689907,1.9336331325584084,0.8647470255892926,5,0.0664638426382667,0.02027602062175865,0.009067712084687977,5,1.424583898944193,0.06973660764651538,0.031187159043568,5,0.01780362156936759,0.013708099493134906,0.006130448461796012,5,0.8000885896472759,0.47861588046731013,0.21404352876716384,5,0.5790453023344815,0.13182465098364485,0.058953776141922876,5,0.28491348908645725,0.06585485482138789,0.02945118640580062,5,0.5249170348601909,0.21463841308642012,0.09598921644878317,5,0.36269838476697014,0.06017881786550007,0.02691278551056739,5,0.0638633754305396,0.04574633272846038,0.020458381940432167,5,0.2971479687177386,0.17495859693368795,0.0782438631983425,5,0.23328459328719892,0.1839190811183985,0.08225111354800742,5,0.2094610357602328,0.08233322539786474,0.03682053775928754,5,0.21117666475315727,0.10639761654091442,0.047582460645888135,5,0.4946212132854284,0.12525981079040477,0.05601789035522134,5,0.28344454853227113,0.16693380326534069,0.07465506636877563,5,0.4415683864152598,0.07296893017149242,0.032632697621778485,5,0.7851283911720804,0.027921911771394577,0.012487058556517968,5,0.8638650687299878,0.025527152949889425,0.011416089853597407,5,0.07873667755790732,0.03648405818294739,0.016316166838425565,5,0.85045666751813,0.01742844504672404,0.00779423757331889,5,138.0,14.966629547095765,6.693280212272604,5,196.4,21.419617176784463,9.579144011862438,5,-0.019960591133004923,0.31484730505323394,0.1408039953263288,5,0.18277003870287029,0.08370833436805353,0.03743550518604991,5
