variant_key,variant,scenario,condition,mean_vz_abs,auc_vz_abs,mass_retention,chewer_band_mass_fraction_final,bottom_half_mass_fraction_final,speckle_length_proxy_final_um,active_transport_fraction,final_total_len_um,final_off_len_um,final_avg_len_um
baseline_job09,baseline,large_long,nomotor_xlink,0.004018401668181864,1.6571019484070764,1.7927726723244661,0.054778973484231885,0.1924868816140021,2091.2,0.022695035460992906,2109.92,109.4,7.992
baseline_job09,baseline,large_long,rotatable_xlink,0.011494839706845107,4.825959341259489,1.752022695683058,0.1754059014914607,0.34810689109352455,2055.6,0.21843971631205675,2093.6,125.4,7.9306
baseline_job09,baseline,small_long,nomotor_xlink,0.007804638172481742,3.274070624081137,1.6248932450795777,0.07955060340381441,0.21850028469024693,228.4,0.07801418439716312,218.18,14.960000000000003,6.6118
baseline_job09,baseline,small_long,rotatable_xlink,0.02284817870853297,9.614000548708415,1.5575377524459975,0.46097091495134307,0.630230981663004,213.6,0.3092198581560283,215.21999999999997,17.18,6.5224
job10_chew_rate2x,2x chewing rate,large_long,nomotor_xlink,0.004336337038003696,1.8054195632958092,1.7544993387883356,0.018215665663978607,0.1659068343717561,2064.8,0.021276595744680847,2048.2400000000002,188.07999999999998,7.758600000000001
job10_chew_rate2x,2x chewing rate,large_long,rotatable_xlink,0.0113895539435995,4.76558696580786,1.665387068417844,0.1558002934651775,0.3659671128457972,1968.0,0.18723404255319148,1986.0199999999998,250.45999999999998,7.522799999999999
job10_chew_rate2x,2x chewing rate,small_long,nomotor_xlink,0.008553069527499808,3.582813678397308,1.524374249677795,0.029471694633966438,0.19533110004712442,192.0,0.07943262411347518,206.04000000000002,31.139999999999997,6.2432
job10_chew_rate2x,2x chewing rate,small_long,rotatable_xlink,0.01781271447963339,7.43176153006805,1.4240313551381996,0.3217279609509271,0.48082440543833105,202.0,0.22695035460992904,200.4,36.88,6.0724
job11_chewer_count2x,2x chewer count,large_long,nomotor_xlink,0.004587350252280115,1.89321628469473,1.7145422942750606,0.021825768663520893,0.17980713402521312,2012.8,0.03546099290780142,2045.6799999999998,190.86,7.7488
job11_chewer_count2x,2x chewer count,large_long,rotatable_xlink,0.01100118075597181,4.61716958642872,1.7082222077346914,0.12362638558221839,0.32721951286351675,1996.8,0.1971631205673759,1999.14,236.01999999999998,7.5724
job11_chewer_count2x,2x chewer count,small_long,nomotor_xlink,0.008080510716975966,3.353476533841389,1.4290519737646892,0.01811314851663757,0.21638509832810718,184.4,0.06524822695035461,207.7,29.299999999999994,6.2940000000000005
job11_chewer_count2x,2x chewer count,small_long,rotatable_xlink,0.021732567801283707,9.13766486524814,1.424583898944193,0.2971479687177386,0.4946212132854284,196.4,0.26666666666666666,203.74,32.32000000000001,6.1748
job12_count2x_rate2x,2x count + 2x rate,large_long,nomotor_xlink,0.004949763809112866,2.0552586475485137,1.7306143500126456,0.00040424549692168795,0.15319007122719128,2001.2,0.032624113475177303,2030.6799999999998,236.35999999999999,7.697799999999999
job12_count2x_rate2x,2x count + 2x rate,large_long,rotatable_xlink,0.009945794630843835,4.183464522187218,1.621929380139703,0.036022834572076425,0.2813844931476307,1862.8,0.1177304964539007,1882.8799999999999,381.1,7.1542
job12_count2x_rate2x,2x count + 2x rate,small_long,nomotor_xlink,0.008830256566535155,3.7038316358085672,1.5404927459784323,0.00425531914893617,0.1515301012996842,198.0,0.06808510638297872,210.42000000000002,33.28,6.3772
job12_count2x_rate2x,2x count + 2x rate,small_long,rotatable_xlink,0.014896002730210823,6.1493112770635685,1.5025227227430498,0.09643884689767364,0.28738006821913054,201.2,0.14893617021276598,203.12,44.22,6.1546
