scenario,condition,replicate,run_dir,frame,time_s,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
full_height_aligned,rotatable_xlink,1,r0011,780,780.0,13.0,actin,64,15.826,3.702,12.757,18.164,1012.9,149.6
full_height_aligned,rotatable_xlink,2,r0012,0,0.0,0.0,actin,63,5.0,0.0,5.0,5.0,315.0,0.0
full_height_aligned,rotatable_xlink,2,r0012,120,120.0,2.0,actin,63,14.911,0.156,14.211,15.193,939.4,17.8
full_height_aligned,rotatable_xlink,2,r0012,180,180.0,3.0,actin,63,15.713,0.33,14.706,16.14,989.9,26.9
full_height_aligned,rotatable_xlink,2,r0012,780,780.0,13.0,actin,63,16.072,4.428,12.92,18.452,1012.5,149.9
full_height_aligned,rotatable_xlink,3,r0013,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,rotatable_xlink,3,r0013,120,120.0,2.0,actin,64,14.729,0.159,13.929,15.002,942.7,17.5
full_height_aligned,rotatable_xlink,3,r0013,180,180.0,3.0,actin,64,15.487,0.35,14.356,15.912,991.2,27.2
full_height_aligned,rotatable_xlink,3,r0013,780,780.0,13.0,actin,64,15.835,4.786,12.443,18.224,1013.4,152.9
full_height_aligned,rotatable_xlink,4,r0014,0,0.0,0.0,actin,64,5.0,0.0,4.975,5.0,320.0,0.0
full_height_aligned,rotatable_xlink,4,r0014,120,120.0,2.0,actin,64,14.714,0.146,14.151,15.031,941.7,20.3
full_height_aligned,rotatable_xlink,4,r0014,180,180.0,3.0,actin,64,15.472,0.32,14.644,15.959,990.2,31.2
full_height_aligned,rotatable_xlink,4,r0014,780,780.0,13.0,actin,64,15.8,3.074,13.249,18.496,1011.2,172.5
full_height_aligned,rotatable_xlink,5,r0015,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,rotatable_xlink,5,r0015,120,120.0,2.0,actin,64,14.708,0.142,14.141,15.049,941.3,21.8
full_height_aligned,rotatable_xlink,5,r0015,180,180.0,3.0,actin,64,15.471,0.309,14.642,15.979,990.1,32.5
full_height_aligned,rotatable_xlink,5,r0015,780,780.0,13.0,actin,64,15.793,3.75,13.357,18.468,1010.8,171.2
top_two_thirds_aligned,fixed_global_xlink,1,r0016,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,fixed_global_xlink,1,r0016,120,120.0,2.0,actin,64,14.761,0.109,13.943,14.942,944.7,11.6
top_two_thirds_aligned,fixed_global_xlink,1,r0016,180,180.0,3.0,actin,64,15.509,0.266,14.313,15.824,992.6,20.1
top_two_thirds_aligned,fixed_global_xlink,1,r0016,780,780.0,13.0,actin,64,15.826,4.708,12.687,18.022,1012.8,140.6
top_two_thirds_aligned,fixed_global_xlink,2,r0017,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,fixed_global_xlink,2,r0017,120,120.0,2.0,actin,64,14.764,0.116,13.898,14.937,944.9,11.0
top_two_thirds_aligned,fixed_global_xlink,2,r0017,180,180.0,3.0,actin,64,15.522,0.274,14.271,15.809,993.4,18.4
top_two_thirds_aligned,fixed_global_xlink,2,r0017,780,780.0,13.0,actin,64,15.809,4.097,12.517,17.978,1011.7,138.8
top_two_thirds_aligned,fixed_global_xlink,3,r0018,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,fixed_global_xlink,3,r0018,120,120.0,2.0,actin,64,14.761,0.129,13.98,14.953,944.7,12.3
top_two_thirds_aligned,fixed_global_xlink,3,r0018,180,180.0,3.0,actin,64,15.517,0.28,14.427,15.831,993.1,20.1
top_two_thirds_aligned,fixed_global_xlink,3,r0018,780,780.0,13.0,actin,64,15.784,3.748,12.717,18.094,1010.2,147.8
top_two_thirds_aligned,fixed_global_xlink,4,r0019,0,0.0,0.0,actin,64,4.999,0.0,4.961,5.0,320.0,0.0
top_two_thirds_aligned,fixed_global_xlink,4,r0019,120,120.0,2.0,actin,64,14.769,0.129,13.858,14.945,945.2,11.2
top_two_thirds_aligned,fixed_global_xlink,4,r0019,180,180.0,3.0,actin,64,15.529,0.278,14.037,15.807,993.9,17.7
top_two_thirds_aligned,fixed_global_xlink,4,r0019,780,780.0,13.0,actin,64,15.818,4.196,12.417,18.023,1012.3,141.1
top_two_thirds_aligned,fixed_global_xlink,5,r0020,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,fixed_global_xlink,5,r0020,120,120.0,2.0,actin,64,14.756,0.124,13.915,14.951,944.4,12.4
top_two_thirds_aligned,fixed_global_xlink,5,r0020,180,180.0,3.0,actin,64,15.504,0.279,14.306,15.836,992.2,21.2
top_two_thirds_aligned,fixed_global_xlink,5,r0020,780,780.0,13.0,actin,64,15.789,3.226,13.113,18.276,1010.5,159.2
top_two_thirds_aligned,nomotor_xlink,1,r0021,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,nomotor_xlink,1,r0021,120,120.0,2.0,actin,64,14.736,0.138,14.036,14.986,943.1,16.0
top_two_thirds_aligned,nomotor_xlink,1,r0021,180,180.0,3.0,actin,64,15.495,0.302,14.407,15.888,991.7,25.1
top_two_thirds_aligned,nomotor_xlink,1,r0021,780,780.0,13.0,actin,64,15.847,5.281,12.39,18.025,1014.2,139.4
top_two_thirds_aligned,nomotor_xlink,2,r0022,0,0.0,0.0,actin,64,4.999,0.0,4.95,5.0,319.9,0.0
top_two_thirds_aligned,nomotor_xlink,2,r0022,120,120.0,2.0,actin,64,14.754,0.134,13.925,14.959,944.3,13.1
top_two_thirds_aligned,nomotor_xlink,2,r0022,180,180.0,3.0,actin,64,15.505,0.284,14.377,15.845,992.3,21.7
top_two_thirds_aligned,nomotor_xlink,2,r0022,780,780.0,13.0,actin,64,15.838,4.916,12.15,17.977,1013.7,136.9
top_two_thirds_aligned,nomotor_xlink,3,r0023,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,nomotor_xlink,3,r0023,120,120.0,2.0,actin,64,14.767,0.11,13.971,14.939,945.1,11.0
top_two_thirds_aligned,nomotor_xlink,3,r0023,180,180.0,3.0,actin,64,15.507,0.258,14.365,15.816,992.4,19.8
top_two_thirds_aligned,nomotor_xlink,3,r0023,780,780.0,13.0,actin,64,15.839,4.634,12.008,17.934,1013.7,134.1
top_two_thirds_aligned,nomotor_xlink,4,r0024,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,nomotor_xlink,4,r0024,120,120.0,2.0,actin,64,14.773,0.103,13.965,14.93,945.5,10.1
top_two_thirds_aligned,nomotor_xlink,4,r0024,180,180.0,3.0,actin,64,15.517,0.232,14.377,15.798,993.1,18.0
top_two_thirds_aligned,nomotor_xlink,4,r0024,780,780.0,13.0,actin,64,15.842,4.442,12.379,17.909,1013.9,132.3
top_two_thirds_aligned,nomotor_xlink,5,r0025,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
