scenario,condition,time_min,phase_name,n_replicates,vz_abs_mean,vz_abs_sd,vz_abs_sem,vz_abs_n,speckle_length_proxy_um_mean,speckle_length_proxy_um_sd,speckle_length_proxy_um_sem,speckle_length_proxy_um_n,chewer_band_mass_fraction_mean,chewer_band_mass_fraction_sd,chewer_band_mass_fraction_sem,chewer_band_mass_fraction_n,bottom_half_mass_fraction_mean,bottom_half_mass_fraction_sd,bottom_half_mass_fraction_sem,bottom_half_mass_fraction_n
full_height_aligned,fixed_global_xlink,0.0,growth,5,0.12477731298597991,0.052122712470244956,0.02330998565102874,5,326.0,12.24744871391589,5.477225575051661,5,0.27422087415793983,0.05861599919770883,0.026213871755030014,5,0.5126430105026618,0.07410415089531047,0.03314038376336322,5
full_height_aligned,fixed_global_xlink,0.016666666666666666,growth,5,0.13494686715191467,0.03974721945003552,0.017775496921376248,5,342.8,13.386560424545209,5.986651818838306,5,0.2651662760272037,0.05904876428041693,0.02640741018367474,5,0.5036979137618667,0.07950063980479992,0.03555376697165164,5
full_height_aligned,fixed_global_xlink,0.03333333333333333,growth,5,0.0832443243795771,0.04913354993167789,0.021973191524622383,5,355.6,12.60158720161869,5.635601121442147,5,0.2557950336624684,0.057025375232775136,0.025502523092583617,5,0.4936435916702626,0.07613217040069405,0.03404734165810985,5
full_height_aligned,fixed_global_xlink,0.05,growth,5,0.0861554244967931,0.061845041807300966,0.02765794351048828,5,364.8,13.311649033834989,5.9531504264548865,5,0.25069971509751465,0.05679524470023656,0.02539960558969272,5,0.49261787184633743,0.07454514858968937,0.033337603927873605,5
full_height_aligned,fixed_global_xlink,0.06666666666666667,growth,5,0.11160430053869064,0.0655182981274098,0.029300673676597094,5,376.8,17.00588133558505,7.605261336732617,5,0.24153010633987199,0.05471017548398918,0.024467134288628452,5,0.4857270804251814,0.06998953639488564,0.031300272218531974,5
full_height_aligned,fixed_global_xlink,0.08333333333333333,growth,5,0.08995310168036594,0.052188192888798286,0.023339269384444816,5,387.2,15.594870951694341,6.974238309665077,5,0.23483145233058383,0.05140512922300737,0.022989072666961083,5,0.4847307080164881,0.07683281136423974,0.03436067782257168,5
full_height_aligned,fixed_global_xlink,0.1,growth,5,0.11405831421642051,0.05863591068600355,0.02622277644330205,5,400.8,10.825894882179487,4.841487374764082,5,0.2289925267581355,0.0540337308046078,0.024164619031405488,5,0.4756409597633685,0.07909719697255406,0.03537334185206429,5
full_height_aligned,fixed_global_xlink,0.11666666666666667,growth,5,0.06771075184231891,0.04257672427677961,0.019040889948428955,5,410.8,12.93058390019569,5.7827329179203835,5,0.2236787968453958,0.053891869795690404,0.024101176859546287,5,0.4704995586155684,0.08778239469090329,0.03925748035131528,5
full_height_aligned,fixed_global_xlink,0.13333333333333333,growth,5,0.06031316730654125,0.0232332068076833,0.010390205951458148,5,420.4,15.899685531481431,7.11055553385247,5,0.21464889920991764,0.04952657149542595,0.022148956111255166,5,0.4614337467234745,0.08590096928857052,0.03841608133247309,5
full_height_aligned,fixed_global_xlink,0.15,growth,5,0.06553462987967738,0.026978409537864078,0.012065111530298553,5,432.8,18.36300628982085,8.212186067059124,5,0.21252343367681342,0.04790313912446519,0.021422935083586784,5,0.45145623265517143,0.08753609614478333,0.039147332292938555,5
full_height_aligned,fixed_global_xlink,0.16666666666666666,growth,5,0.08994725783396855,0.04838730441561538,0.021639460384258343,5,445.2,17.81010948871455,7.964923100695951,5,0.20636896659197018,0.044798920900151536,0.02003468649027498,5,0.4529488241178294,0.0881487423033802,0.0394213159842939,5
full_height_aligned,fixed_global_xlink,0.18333333333333332,growth,5,0.09062497133367461,0.04596114538068937,0.020554449078994376,5,461.2,18.19890106572372,8.138795979750322,5,0.19974984769746712,0.03725452187431379,0.0166607286760437,5,0.4499725820920541,0.08196422104236051,0.03665551399470735,5
full_height_aligned,fixed_global_xlink,0.2,growth,5,0.08946588236982664,0.05111058946392003,0.022857350482281946,5,470.8,17.297398648351724,7.735631842325486,5,0.19514232528048275,0.041684861010223416,0.01864203657029802,5,0.44275296680213155,0.08607621299432582,0.03849445270021264,5
full_height_aligned,fixed_global_xlink,0.21666666666666667,growth,5,0.0640018715631632,0.03120908787054254,0.013957128398859455,5,483.6,16.994116628998402,7.6,5,0.19515152171779765,0.04426177917448004,0.01979446940784438,5,0.4373164545226542,0.0870098238683107,0.038911976175965285,5
full_height_aligned,fixed_global_xlink,0.23333333333333334,growth,5,0.03244928429777803,0.03191509242932768,0.014272863236033117,5,490.8,14.737706741552431,6.590902821313632,5,0.19057566375198698,0.041331301689376675,0.01848392003519963,5,0.4342444634815374,0.08381501132145239,0.0374832125699364,5
full_height_aligned,fixed_global_xlink,0.25,growth,5,0.05804619483948452,0.02426439014610192,0.01085136515985199,5,496.8,14.872793954062564,6.651315659326355,5,0.18765465950960053,0.041296661556623725,0.018468428496882586,5,0.4307684576056124,0.08156660171583098,0.03647769322604981,5
full_height_aligned,fixed_global_xlink,0.26666666666666666,growth,5,0.07719626041065306,0.039676367059605096,0.017743810769102086,5,506.4,18.29754081837229,8.182909018191515,5,0.1836514870208926,0.039552061760981236,0.017688219749564815,5,0.42981286844079236,0.08239282079449067,0.03684718963088787,5
full_height_aligned,fixed_global_xlink,0.2833333333333333,growth,5,0.06520662528277332,0.024413532897668934,0.01091806382602303,5,520.4,16.211107303327555,7.249827584156743,5,0.17787178866438186,0.04047658994472183,0.018101681322756493,5,0.4272537747174495,0.0804785925068007,0.035991120715742314,5
full_height_aligned,fixed_global_xlink,0.3,growth,5,0.06712414621200513,0.04017961061103541,0.017968868127149405,5,526.0,16.55294535724685,7.402702209328698,5,0.1743669052094015,0.03707299112473935,0.016579545656832714,5,0.4212428146431222,0.0783705645618883,0.03504838195908365,5
full_height_aligned,fixed_global_xlink,0.31666666666666665,growth,5,0.07721860551238624,0.03779552071046473,0.016902670710720054,5,538.0,23.57965224510319,10.545141061171252,5,0.17098406347258596,0.03880940483212814,0.01735609347418947,5,0.41667342862018425,0.08077277001392198,0.036122680896417236,5
full_height_aligned,fixed_global_xlink,0.3333333333333333,growth,5,0.07509697482132904,0.03225301308914662,0.014423985949304463,5,546.8,24.560130292814,10.983624174196784,5,0.16583431773002788,0.03522663642862357,0.015753830734614546,5,0.4118625477379987,0.07823425622892191,0.034987423019401144,5
full_height_aligned,fixed_global_xlink,0.35,growth,5,0.06707295888782143,0.025546535322472586,0.011424757914129642,5,558.4,29.202739597510366,13.059862173851604,5,0.1677038629850307,0.03834084024229375,0.017146545019245667,5,0.407214744136464,0.08006664006971845,0.035806889985179786,5
full_height_aligned,fixed_global_xlink,0.36666666666666664,growth,5,0.035092716214152,0.02851436397202839,0.012752011235325277,5,567.6,26.623298067669978,11.906300852909773,5,0.1649538752933343,0.04081601240210302,0.018253475660315367,5,0.4023252795729735,0.0782823859017835,0.035008947263451815,5
full_height_aligned,fixed_global_xlink,0.3833333333333333,growth,5,0.037477723407326434,0.025681426163414983,0.011485082932107505,5,573.6,28.47455004034304,12.734205903785282,5,0.16406925644610051,0.04237380508189571,0.01895014172568897,5,0.40109293878909585,0.07823675713045873,0.03498854145656942,5
full_height_aligned,fixed_global_xlink,0.4,growth,5,0.051381853708562575,0.02782721641996351,0.012444709507927348,5,581.2,30.285309970347008,13.544002362669609,5,0.15933480608182468,0.041050663584672076,0.018358414859360392,5,0.3977579292707625,0.07555188082730933,0.033787828271565346,5
full_height_aligned,fixed_global_xlink,0.4166666666666667,growth,5,0.046381006287166585,0.017757628751090593,0.007941453001328652,5,587.2,31.767908335299634,14.207040508142432,5,0.16038371983719663,0.037428769099104905,0.016738654403948425,5,0.3931167126120985,0.07596704537943083,0.03397349550364372,5
full_height_aligned,fixed_global_xlink,0.43333333333333335,growth,5,0.03252847198123497,0.0200039842742378,0.008946053731606503,5,594.0,30.166206257996713,13.490737563232042,5,0.1613401438073148,0.040672917226694506,0.018189481552422226,5,0.38859200951019773,0.07608551947021752,0.03402647872775803,5
full_height_aligned,fixed_global_xlink,0.45,growth,5,0.030031989816186776,0.01919530822587929,0.008584402808425396,5,602.4,29.475413483104862,13.181805642627264,5,0.15625672643544478,0.037889946063166896,0.016944899012208345,5,0.3862486454459451,0.07404560845250095,0.033114202787025024,5
full_height_aligned,fixed_global_xlink,0.4666666666666667,growth,5,0.04124781993712946,0.023407273557910776,0.01046805096868437,5,609.6,28.82360144048623,12.890306435457612,5,0.15494609297556602,0.03712956467742988,0.01660484611874165,5,0.3822157217314569,0.073066804625319,0.03267646840818187,5
full_height_aligned,fixed_global_xlink,0.48333333333333334,growth,5,0.04664927206017642,0.017909058331027117,0.008009174368237114,5,616.0,32.28002478313795,14.436065946094871,5,0.15417336144926116,0.03695123110792956,0.016525092921927075,5,0.37918697301631843,0.07245380947872133,0.0324023286446479,5
full_height_aligned,fixed_global_xlink,0.5,growth,5,0.054005878097410476,0.0403942852902596,0.01806487356230806,5,624.8,32.69862382425291,14.62326912834473,5,0.15337040186524573,0.03949427910041377,0.017662378558174884,5,0.37506815740218913,0.07106957278256532,0.031783279174736986,5
full_height_aligned,fixed_global_xlink,0.5166666666666666,growth,5,0.04695719256967225,0.02573637529347018,0.011509656930129085,5,631.2,33.03331651530013,14.772948250095512,5,0.15112647693757622,0.03692191133103678,0.016511980719083597,5,0.37714239147724576,0.07148193712706151,0.03196769411589511,5
