scenario,scenario_label,scenario_short,condition,condition_label,condition_short,motor_mode,include_xlinks,n_clusters,motors_per_cluster,total_motors,run_dir,run_path,growth_end_min,motor_onset_min,threshold_vz_abs,threshold_vz_abs_matched,mean_vz_abs,mean_vz_signed,peak_vz_abs,time_to_peak_min,auc_vz_abs,excess_auc_vz_abs,directionality_index,active_transport_fraction,matched_active_transport_fraction,longest_active_streak_min,onset_time_after_motor_min,net_z_displacement,abs_net_z_displacement,mass_normalized_auc,mass_retention,mean_swirl_rate_abs,swirl_penalty,seed_zone_mass_fraction_motor_onset,seed_zone_mass_fraction_final,seed_zone_retention,seed_zone_mass_fraction_mean,chewer_band_mass_fraction_motor_onset,chewer_band_mass_fraction_final,chewer_band_mass_fraction_gain,chewer_band_mass_fraction_mean,bottom_half_mass_fraction_motor_onset,bottom_half_mass_fraction_final,bottom_half_mass_fraction_gain,bottom_half_mass_fraction_mean,axial_spread_entropy_motor_onset,axial_spread_entropy_final,axial_spread_entropy_gain,axial_spread_entropy_mean,speckle_length_proxy_motor_onset_um,speckle_length_proxy_final_um,top_bias_final,nematic_xy_final,zmin,zmax,scenario_z_low,scenario_z_high,chewer_zone_bottom,chewer_zone_top
full_height_aligned,"Full height, aligned","Full height
aligned",fixed_global_xlink,"Fixed global, + xlinks","Fixed global
+ xlinks",fixed_global,1,15,12,180,r0001,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0001,2.0,3.0,0.013220957538261467,0.01437023043571397,0.008715142112402745,-0.002897902760331878,0.046388582677165724,0.6499999999999999,5.232252694469312,0.9940504575366591,0.33400382268221346,0.1896838602329451,0.15973377703826955,0.33333333333333215,0.1499999999999999,-1.7475924011920616,1.7475924011920616,0.005201046415973472,1.0119284294234592,0.026884640387003562,3.0848195061263923,1.0000000000000007,0.9999999999999997,0.999999999999999,1.0,0.10337972166998013,0.15520628683693513,0.051826565166954996,0.152807230537983,0.2743538767395627,0.39489194499017677,0.12053806825061408,0.38349763488349214,0.9163544193302883,0.9643960639283243,0.04804164459803606,0.9597633310492129,1006.0,1018.0,0.35064935064935066,0.06874410674284723,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",fixed_global_xlink,"Fixed global, + xlinks","Fixed global
+ xlinks",fixed_global,1,15,12,180,r0002,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0002,2.0,3.0,0.013220957538261467,0.01437023043571397,0.008463036548575553,-0.004023793205466475,0.06113659695817497,2.4833333333333334,5.082518151676167,0.9185932757176425,0.4703700840061212,0.19800332778702162,0.16638935108153077,0.18333333333333268,0.21666666666666679,-2.3906644899665546,2.3906644899665546,0.004887036684304007,1.0173076923076922,0.004767058132883105,0.5632798707085186,1.0,0.9999999999999997,0.9999999999999997,1.0,0.0903846153846154,0.17580340264650285,0.08541878726188745,0.1468308094073029,0.2115384615384616,0.4007561436672969,0.1892176821288353,0.33056938117711654,0.8939801675969945,0.9586809524262906,0.06470078482929609,0.9497922708372334,1040.0,1058.0,0.310126582278481,0.08611392588410949,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",fixed_global_xlink,"Fixed global, + xlinks","Fixed global
+ xlinks",fixed_global,1,15,12,180,r0003,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0003,2.0,3.0,0.013220957538261467,0.01437023043571397,0.01020284017378401,-0.00290337122357225,0.0896059469530126,0.08333333333333348,6.129339862784214,1.7554656383146883,0.2826029072813911,0.23460898502495842,0.2113144758735441,0.2166666666666659,0.04999999999999982,-1.7321692649385416,1.7321692649385416,0.006153955685526319,0.9939759036144579,0.007227991643332613,0.7084293706672766,1.0000000000000002,0.9999999999999997,0.9999999999999994,1.0000000000000002,0.1267605633802817,0.19191919191919193,0.06515862853891025,0.19779722778226091,0.2917505030181087,0.37979797979797975,0.08804747677987107,0.3881619255147513,0.9178371945712938,0.9657439252259938,0.04790673065470008,0.9659572911246754,996.0,990.0,0.26282051282051283,0.03998388877975354,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",fixed_global_xlink,"Fixed global, + xlinks","Fixed global
+ xlinks",fixed_global,1,15,12,180,r0004,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0004,2.0,3.0,0.013220957538261467,0.01437023043571397,0.010876989910925623,-0.004865092402826047,0.14812110894941655,0.3500000000000001,6.534983828370226,2.3187617246356833,0.4474005686240293,0.21963394342762063,0.19966722129783693,0.34999999999999876,0.20000000000000018,-2.9237554807616752,2.9237554807616752,0.006394309029716464,1.0234833659491194,0.01050699378125284,0.965983591719513,1.0,1.0,1.0,1.0,0.08414872798434443,0.20841300191204587,0.12426427392770144,0.15984305185217706,0.2524461839530333,0.49139579349904405,0.23894960954601074,0.3968638157755108,0.9090863251061532,0.9682088399957618,0.059122514889608624,0.9585196143650151,1022.0,1046.0,0.18471337579617833,0.010002050935366534,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",fixed_global_xlink,"Fixed global, + xlinks","Fixed global
+ xlinks",fixed_global,1,15,12,180,r0005,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0005,2.0,3.0,0.013220957538261467,0.01437023043571397,0.009140727737873102,-0.004271925668221367,0.0688325203252036,0.9333333333333336,5.4695924492206665,1.2763747599986681,0.46309275899828695,0.21797004991680533,0.1913477537437604,0.1999999999999993,0.10000000000000009,-2.532928657905796,2.532928657905796,0.005569849744623896,1.0264765784114054,0.010059396348504047,1.1005027867556532,0.9999999999999998,0.9999999999999998,1.0,1.0,0.10183299389002035,0.2350597609561753,0.13322676706615497,0.20307657245773253,0.2871690427698574,0.4203187250996015,0.1331496823297441,0.4029013821588128,0.9317281622225286,0.9777753754919402,0.046047213269411524,0.9657830974372246,982.0,1008.0,0.14375,0.044285761586333364,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0006,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0006,2.0,3.0,0.013220957538261467,0.01437023043571397,0.005654983399985271,0.00014365780276232097,0.033305201939401785,4.483333333333333,3.3937927887091432,0.11776382070795507,0.031727129361704944,0.04991680532445923,0.04492512479201331,0.033333333333333215,nan,0.10767530283419635,0.10767530283419635,0.0034915563669847154,1.0205761316872428,0.008999720091206918,1.5914671104481684,1.0,1.0,1.0,1.0,0.08436213991769548,0.07676767676767678,-0.0075944631500187015,0.07223576571997033,0.2736625514403292,0.2646464646464647,-0.009016086793864508,0.2603484050086177,0.9269526242981266,0.9192386803558064,-0.007713943942320278,0.9236091960875431,972.0,992.0,0.5379746835443038,0.0607128076130952,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0007,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0007,2.0,3.0,0.013220957538261467,0.01437023043571397,0.006060995942005222,-0.0015184041772785704,0.024350578034682213,0.4500000000000002,3.6380595582062654,0.12472337040260358,0.24802546464947803,0.08485856905158069,0.06156405990016639,0.08333333333333304,1.2000000000000002,-0.9023314123465838,0.9023314123465838,0.003532096658452685,1.029126213592233,0.005466930065388457,0.9019854356773874,0.9999999999999998,1.0000000000000004,1.0000000000000007,1.0,0.09902912621359221,0.12830188679245283,0.02927276057886062,0.11324020667203391,0.2679611650485436,0.34150943396226413,0.07354826891372052,0.3056737810763526,0.9286844535209716,0.9549146722747891,0.02623021875381748,0.9409593831718929,1030.0,1060.0,0.48125,0.12867710756476528,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0008,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0008,2.0,3.0,0.013220957538261467,0.01437023043571397,0.005457791930473319,-0.0009713891507108873,0.02781602594265631,2.5999999999999996,3.2766530531533307,0.077284974793378,0.17454746243841535,0.05823627287853577,0.04326123128119801,0.033333333333333215,nan,-0.5719314757189999,0.5719314757189999,0.003244210943716169,0.998019801980198,0.018246087015362615,3.3431261667353906,1.0000000000000007,1.0,0.9999999999999993,1.0000000000000002,0.07920792079207921,0.10317460317460317,0.02396668238252396,0.0929045459960583,0.2237623762376238,0.3035714285714286,0.07980905233380481,0.27625441398612915,0.9113592940429853,0.9173564201763253,0.005997126133340025,0.9219551069888099,1010.0,1008.0,0.6,0.05166504419937945,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0009,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0009,2.0,3.0,0.013220957538261467,0.01437023043571397,0.005923048059721524,-0.00017682516808510598,0.02669539144270483,4.733333333333333,3.551760387109168,0.10825640666675024,0.03368514289045385,0.05490848585690516,0.048252911813643926,0.033333333333333215,nan,-0.119641556152426,0.119641556152426,0.003509644651293644,1.023715415019763,0.011757014938645432,1.984960246835849,1.0000000000000007,1.0,0.9999999999999993,1.0,0.09900990099009903,0.09266409266409266,-0.006345808326006369,0.09684915531855498,0.2693069306930694,0.2915057915057916,0.02219886081272221,0.2828060383534488,0.9272742249505702,0.931881843467575,0.004607618517004752,0.9251557364858995,1012.0,1036.0,0.6011904761904762,0.10017293422957367,-10.0,10.0,-10.0,10.0,-10.0,-4.0
full_height_aligned,"Full height, aligned","Full height
aligned",nomotor_xlink,"No motors, + xlinks","No motors
+ xlinks",none,1,0,0,0,r0010,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0010,2.0,3.0,0.013220957538261467,0.01437023043571397,0.0058135650472922774,-0.001070404650701771,0.03599443271571201,0.06666666666666687,3.4861534992743106,0.17775640519307961,0.18321226320100006,0.06821963394342762,0.05324459234608985,0.04999999999999982,1.25,-0.6387060724681324,0.6387060724681324,0.0035428389220267384,0.9878048780487805,0.01127783307749749,1.9399168987969349,0.9999999999999997,1.0,1.0000000000000004,1.0,0.0934959349593496,0.12345679012345681,0.02996085516410721,0.11305751821403365,0.29065040650406504,0.3045267489711934,0.013876342467128377,0.2969918257805868,0.9097901229468235,0.9400202854384208,0.030230162491597268,0.9271140231557616,984.0,972.0,0.5305466237942122,0.1318751976933303,-10.0,10.0,-10.0,10.0,-10.0,-4.0
