scenario,condition,frame,time_min,n_replicates,total_len,total_len_sd,total_len_sem,total_len_n,off_len,off_len_sd,off_len_sem,off_len_n,avg_len,avg_len_sd,avg_len_sem,avg_len_n,min_len,min_len_sd,min_len_sem,min_len_n,max_len,max_len_sd,max_len_sem,max_len_n
full_height_aligned,fixed_global_xlink,0,0.0,5,320.0,0.0,0.0,5,0.0,0.0,0.0,5,4.9998,0.00044721359550010725,0.00020000000000006677,5,4.9854,0.020366639388961424,0.009108238029388505,5,5.0,0.0,0.0,5
full_height_aligned,fixed_global_xlink,120,2.0,5,941.72,0.8043631020876228,0.35972211497210554,5,20.46,2.3287335614019917,1.0414413089560068,5,14.714400000000001,0.012461942063739226,0.005573149917236985,5,14.117,0.05507721852090924,0.024631280924872694,5,15.034600000000001,0.02381806037443037,0.01065176041788408,5
full_height_aligned,fixed_global_xlink,180,3.0,5,990.4399999999999,0.7334848328357017,0.32802438933713973,5,30.880000000000003,3.02274709494526,1.3518135966175224,5,15.476000000000003,0.011423659658795984,0.005108815909777974,5,14.5756,0.10621346430655533,0.047500105263041055,5,15.958800000000002,0.03615522092312553,0.016169106345126274,5
full_height_aligned,fixed_global_xlink,780,13.0,5,1011.8199999999999,0.21679483388679005,0.09695359714832749,5,161.46,7.770006435003769,3.474852514855846,5,15.8096,0.0037815340802380133,0.0016911534525288683,5,13.0658,0.29926192540983193,0.13383400165877116,5,18.333000000000006,0.11856432853097042,0.05302357966037352,5
full_height_aligned,nomotor_xlink,0,0.0,5,320.0,0.0,0.0,5,0.0,0.0,0.0,5,4.9998,0.00044721359550010725,0.00020000000000006677,5,4.9914000000000005,0.01608726204175212,0.00719444229944196,5,5.0,0.0,0.0,5
full_height_aligned,nomotor_xlink,120,2.0,5,941.9800000000001,0.645755371638528,0.28879058156387766,5,19.720000000000002,1.790809872655387,0.8008745220070373,5,14.7182,0.01023230179382902,0.004576024475458945,5,14.080400000000001,0.06458173116292251,0.028881828196982255,5,15.026999999999997,0.01834393632784419,0.008203657720797496,5
full_height_aligned,nomotor_xlink,180,3.0,5,990.6600000000001,0.7797435475847223,0.3487119154832562,5,29.959999999999997,2.6472627372438864,1.1838918869558988,5,15.478800000000001,0.011987493482792846,0.005360970061472101,5,14.5662,0.08875640821935074,0.039693072443437866,5,15.946800000000001,0.02994494949069055,0.013391788528796354,5
full_height_aligned,nomotor_xlink,780,13.0,5,1012.9,0.5291502622129095,0.2366431913239808,5,149.0,5.214403129793474,2.331951972061173,5,15.826400000000001,0.007893034904268258,0.0035298725189444736,5,12.495999999999999,0.1290348790056395,0.05770615218501408,5,18.1542,0.0787826122948462,0.03523265530725736,5
full_height_aligned,rotatable_xlink,0,0.0,5,319.0,2.23606797749979,1.0,5,0.0,0.0,0.0,5,5.0,0.0,0.0,5,4.995,0.011180339887499108,0.005000000000000071,5,5.0,0.0,0.0,5
full_height_aligned,rotatable_xlink,120,2.0,5,941.6,1.4000000000000157,0.6260990336999481,5,18.979999999999997,1.966468916611702,0.8794316346368262,5,14.758799999999999,0.08567204911755044,0.03831370511970873,5,14.0858,0.11773359758369739,0.05265206548655047,5,15.056000000000001,0.07899367063252556,0.035327043465311195,5
full_height_aligned,rotatable_xlink,180,3.0,5,990.7,0.9300537618869235,0.41593268686171275,5,28.720000000000006,2.9405781744412103,1.3150665382405562,5,15.529,0.10363638357256551,0.04634759972209979,5,14.553199999999999,0.15543873391146754,0.06951431507250863,5,15.979,0.09524442240887414,0.042594600596789364,5
full_height_aligned,rotatable_xlink,780,13.0,5,1012.1600000000001,1.1148990985734928,0.4985980344927137,5,159.21999999999997,11.610641670467654,5.192436807511477,5,15.865199999999998,0.11691749227553547,0.05228709209738077,5,12.9452,0.3708546885236859,0.16585125866269457,5,18.3608,0.1545419037025228,0.06911324041021348,5
top_two_thirds_aligned,fixed_global_xlink,0,0.0,5,320.0,0.0,0.0,5,0.0,0.0,0.0,5,4.9998,0.00044721359550010725,0.00020000000000006677,5,4.9921999999999995,0.017441330224498227,0.007799999999999941,5,5.0,0.0,0.0,5
top_two_thirds_aligned,fixed_global_xlink,120,2.0,5,944.78,0.29495762407506754,0.1319090595827359,5,11.700000000000001,0.6324555320336763,0.28284271247461923,5,14.762200000000002,0.004764451699828645,0.0021307275752662546,5,13.9188,0.046029338470153974,0.020584945955722092,5,14.945599999999999,0.006542170893518558,0.0029257477676656067,5
top_two_thirds_aligned,fixed_global_xlink,180,3.0,5,993.04,0.6655824516917214,0.29765752132273177,5,19.5,1.4195069566578395,0.6348228099241553,5,15.516200000000001,0.009984988733093362,0.004465422712353252,5,14.2708,0.1432487347239056,0.06406278170669749,5,15.8214,0.012973048986263846,0.005801723881744139,5
top_two_thirds_aligned,fixed_global_xlink,780,13.0,5,1011.5,1.124722187920167,0.5029910535983572,5,145.5,8.385105843100606,3.749933332740728,5,15.8052,0.01818515878401936,0.008132650244538941,5,12.6902,0.26651679121586314,0.11918993246075775,5,18.0786,0.11791861600273286,0.05273480823896104,5
top_two_thirds_aligned,nomotor_xlink,0,0.0,5,319.98,0.04472135955000596,0.020000000000004545,5,0.0,0.0,0.0,5,4.9998,0.00044721359550010725,0.00020000000000006677,5,4.99,0.022360679774997817,0.009999999999999964,5,5.0,0.0,0.0,5
top_two_thirds_aligned,nomotor_xlink,120,2.0,5,944.6600000000001,0.9838699100998978,0.4399999999999956,5,12.260000000000002,2.360720229082642,1.0557461816175326,5,14.76,0.015247950681976494,0.006819090848492743,5,13.955800000000002,0.05732102581077893,0.025634742050584334,5,14.951400000000001,0.02200681712560938,0.00984174781225382,5
top_two_thirds_aligned,nomotor_xlink,180,3.0,5,992.6200000000001,0.7395944834840276,0.3307567081708262,5,20.54,2.961925049693189,1.3246131510746826,5,15.509800000000002,0.011541230437003029,0.005161395160225675,5,14.3436,0.08615567305755328,0.03852998832078726,5,15.831,0.03635931792539565,0.01626038129934226,5
top_two_thirds_aligned,nomotor_xlink,780,13.0,5,1013.5,0.8631338250816153,0.38600518131238093,5,135.7,2.704625667259704,1.209545369136685,5,15.8358,0.01321741275741935,0.005911006682452521,5,12.1172,0.30245115308095605,0.13526026763244253,5,17.956,0.0456508488420531,0.02041568024827966,5
top_two_thirds_aligned,rotatable_xlink,0,0.0,5,320.0,0.0,0.0,5,0.0,0.0,0.0,5,5.0,0.0,0.0,5,4.9944,0.011970797801316364,0.005353503525729682,5,5.0,0.0,0.0,5
top_two_thirds_aligned,rotatable_xlink,120,2.0,5,945.1600000000001,0.3646916505761925,0.16309506430299336,5,10.98,1.3479614237803692,0.6028266749240614,5,14.768200000000002,0.0058906705900089625,0.0026343879744637664,5,13.8738,0.08496881780982939,0.03799921051811466,5,14.9398,0.015303594349041277,0.006843975452907588,5
top_two_thirds_aligned,rotatable_xlink,180,3.0,5,993.1800000000001,0.35637059362412965,0.1593737745051014,5,18.66,1.1738824472663352,0.5249761899362675,5,15.518199999999998,0.005848076606884825,0.0026153393661241565,5,14.2424,0.10943171386759828,0.04893935022045123,5,15.809999999999999,0.018055470085267866,0.008074651695274574,5
top_two_thirds_aligned,rotatable_xlink,780,13.0,5,1011.8399999999999,0.6730527468185402,0.3009983388658422,5,148.4,7.931897629193151,3.547252457889061,5,15.8098,0.010756393447619604,0.004810405388322152,5,12.7544,0.29286737612783054,0.13097427228276565,5,18.1286,0.11854239747870783,0.05301377179563808,5
top_two_thirds_mixed_polarity,fixed_global_xlink,0,0.0,5,319.98,0.04472135955000596,0.020000000000004545,5,0.0,0.0,0.0,5,4.999599999999999,0.000547722557505349,0.0002449489742783996,5,4.982200000000001,0.024580480060405783,0.010992724866929093,5,5.0,0.0,0.0,5
top_two_thirds_mixed_polarity,fixed_global_xlink,120,2.0,5,948.0200000000001,0.8871302046486902,0.3967366884975542,5,4.359999999999999,2.2210357943986403,0.9932774033471212,5,14.812999999999999,0.013435028842544659,0.006008327554320035,5,13.806799999999999,0.05460036629913753,0.024418026128252026,5,14.8814,0.021149468078417118,0.009458329662260505,5
top_two_thirds_mixed_polarity,fixed_global_xlink,180,3.0,5,997.6,0.8803408430829344,0.39370039370058335,5,6.5200000000000005,3.158638947394906,1.4125862805506784,5,15.5876,0.01383112432161588,0.006185466837676754,5,14.0982,0.09099285686250316,0.04069324268229306,5,15.6898,0.03588453705985381,0.016048052841388712,5
top_two_thirds_mixed_polarity,fixed_global_xlink,780,13.0,5,1020.0,0.8860022573334829,0.39623225512318583,5,43.88000000000001,11.021206830470064,4.928833533403212,5,15.9374,0.013758633653091691,0.006153048025165856,5,10.441,0.2549382278121504,0.11401184149025916,5,16.6236,0.1606278307143559,0.07183494971112568,5
top_two_thirds_mixed_polarity,nomotor_xlink,0,0.0,5,320.0,0.0,0.0,5,0.0,0.0,0.0,5,5.0,0.0,0.0,5,4.9952,0.010733126291999,0.004800000000000004,5,5.0,0.0,0.0,5
top_two_thirds_mixed_polarity,nomotor_xlink,120,2.0,5,948.0600000000001,0.2792848008753711,0.1248999599679645,5,4.319999999999999,0.5540758070878027,0.2477902338672773,5,14.812999999999999,0.004301162633521614,0.001923538406167269,5,13.8186,0.019907285098677112,0.008902808545622126,5,14.880600000000001,0.0049799598391952835,0.002227105745131915,5
top_two_thirds_mixed_polarity,nomotor_xlink,180,3.0,5,997.4199999999998,0.44384682042345935,0.1984943324127994,5,6.76,1.07144761887831,0.4791659420284376,5,15.5846,0.007300684899377609,0.003264965543462909,5,14.0856,0.02743720102342806,0.012270289320142387,5,15.6904,0.00968504001024291,0.0043312815655416805,5
top_two_thirds_mixed_polarity,nomotor_xlink,780,13.0,5,1021.6199999999999,1.2153188881935786,0.5435071296680616,5,28.48,8.432793131578645,3.7712597364806357,5,15.963400000000002,0.018942016788082192,0.008471127433818802,5,10.241999999999999,1.2735564376972068,0.569551753574686,5,16.4082,0.11814271031257033,0.05283502626099453,5
top_two_thirds_mixed_polarity,rotatable_xlink,0,0.0,5,320.0,0.0,0.0,5,0.0,0.0,0.0,5,5.0,0.0,0.0,5,5.0,0.0,0.0,5,5.0,0.0,0.0,5
top_two_thirds_mixed_polarity,rotatable_xlink,120,2.0,5,948.3,0.674536878161608,0.30166206257996975,5,3.8199999999999994,1.4805404418657397,0.6621178142898739,5,14.817200000000003,0.009859006035093057,0.0044090815370097505,5,13.7774,0.08395415415570548,0.03754543913713078,5,14.8768,0.013330416347586102,0.005961543424315398,5
top_two_thirds_mixed_polarity,rotatable_xlink,180,3.0,5,997.64,0.9736529155710242,0.4354308211415347,5,5.959999999999999,2.6949953617770848,1.20523856559604,5,15.5882,0.01508973160795078,0.00674833312752103,5,14.070400000000001,0.13514917683804123,0.06044054930260005,5,15.6814,0.026801119379607934,0.011985824961178065,5
top_two_thirds_mixed_polarity,rotatable_xlink,780,13.0,5,1019.96,1.411736519326492,0.6313477647065963,5,41.0,17.13957409039093,7.665050554301649,5,15.936600000000002,0.02244548952462337,0.01003792807306346,5,11.3224,0.8630219000697491,0.3859551269253979,5,16.577,0.247263017857503,0.1105793832502242,5
