scenario,condition,run_dir,time_min,phase_name,z_com,theta_com,vz_abs,vz_signed,Dz,top_bias,nematic_xy,shell_occ,swirl_rate_abs,speckle_length_proxy_um,seed_zone_mass_fraction,chewer_band_mass_fraction,bottom_half_mass_fraction,axial_spread_entropy
full_height_aligned,fixed_global_xlink,r0001,0.0,growth,-0.09215759493670889,3.0459589145681174,0.16119661932695278,0.16119661932695278,1.0,-0.1875,0.0,0.0032118055555555554,0.17031233305781024,316.0,1.0000000000000007,0.29113924050632906,0.4873417721518988,0.903409964835289
full_height_aligned,fixed_global_xlink,r0001,0.016666666666666666,growth,0.06903902439024391,2.875646581510307,0.1666597916204012,0.1666597916204012,1.0,-0.13725490196078433,0.07714404527476519,0.0031901041666666666,0.028365071743704062,328.0,0.9999999999999998,0.28048780487804886,0.4756097560975611,0.9084929410574509
full_height_aligned,fixed_global_xlink,r0001,0.03333333333333333,growth,0.24116198830409352,2.9892287710807093,0.08767876366694702,0.08767876366694702,1.0,-0.05555555555555555,0.08075808778003826,0.0033854166666666668,0.03620828947155719,342.0,0.9999999999999994,0.2690058479532164,0.4678362573099415,0.9056616443099326
full_height_aligned,fixed_global_xlink,r0001,0.05,growth,0.24439655172413796,2.9480631604534215,0.12746819063056197,0.12746819063056197,1.0,-0.04504504504504504,0.046547481140188605,0.003472222222222222,0.009725898658483167,348.0,1.0000000000000004,0.2643678160919541,0.4655172413793105,0.9139907360450213
full_height_aligned,fixed_global_xlink,r0001,0.06666666666666667,growth,0.49609836956521747,3.0086805683976756,0.18572970341254236,0.18572970341254236,1.0,0.024793388429752067,0.11975904518503439,0.003689236111111111,0.038340591271090796,368.0,0.9999999999999991,0.24456521739130435,0.45652173913043476,0.92137852659187
full_height_aligned,fixed_global_xlink,r0001,0.08333333333333333,growth,0.6158559585492227,3.024744342995603,0.15794885443307755,0.15794885443307755,1.0,0.07086614173228346,0.07445033130652047,0.003841145833333333,0.07557963141721413,386.0,1.0000000000000004,0.22797927461139897,0.45077720207253896,0.9218847962258157
full_height_aligned,fixed_global_xlink,r0001,0.1,growth,0.8119960784313726,-3.1233454759474824,0.15912105918692715,0.15912105918692715,1.0,0.13043478260869565,0.06037083052938253,0.004210069444444444,0.09091534816228308,408.0,0.9999999999999997,0.22058823529411759,0.43627450980392146,0.919610232799645
full_height_aligned,fixed_global_xlink,r0001,0.11666666666666667,growth,0.934098076923077,-3.076610267859417,0.07381600840336144,0.07381600840336144,1.0,0.1388888888888889,0.11104775263292627,0.004036458333333334,0.033807523480068546,416.0,1.0000000000000004,0.22115384615384617,0.4278846153846154,0.9287826170653792
full_height_aligned,fixed_global_xlink,r0001,0.13333333333333333,growth,0.9596280952380954,-3.0557304289873453,0.02767549424874194,0.02767549424874194,1.0,0.1506849315068493,0.12113637428809804,0.004123263888888889,0.014377544712990131,420.0,0.9999999999999994,0.20952380952380953,0.419047619047619,0.9214977404590914
full_height_aligned,fixed_global_xlink,r0001,0.15,growth,0.9894490654205609,-3.105365357285397,0.020839392747924845,0.020839392747924845,1.0,0.16,0.08646488048823259,0.0042751736111111115,0.06879384766795504,428.0,1.0000000000000007,0.20560747663551404,0.4112149532710282,0.9248563292642071
