case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
06_push_filaments_unanchored,1,1.0,0.016666666666666666,1,0.0026,nan,0.0015,nan,-0.0019,nan,0.0035524639336663223,nan
06_push_filaments_unanchored,2,2.0,0.03333333333333333,1,0.0,nan,0.0043,nan,-0.0015,nan,0.00455411901469428,nan
06_push_filaments_unanchored,3,3.0,0.05,1,0.0018,nan,0.0027,nan,-0.0036,nan,0.004846648326421054,nan
06_push_filaments_unanchored,4,4.0,0.06666666666666667,1,0.0024,nan,-0.0016,nan,-0.0039,nan,0.004850773134253961,nan
06_push_filaments_unanchored,5,5.0,0.08333333333333333,1,0.0038,nan,-0.0044,nan,-0.0053,nan,0.007867019766086775,nan
06_push_filaments_unanchored,6,6.0,0.1,1,0.001,nan,-0.0053,nan,-0.0022,nan,0.00582494635168428,nan
06_push_filaments_unanchored,7,7.0,0.11666666666666667,1,0.0006,nan,-0.004,nan,-0.0019,nan,0.004468780594300866,nan
06_push_filaments_unanchored,8,8.0,0.13333333333333333,1,0.0011,nan,-0.0056,nan,-0.0015,nan,0.005900847396772772,nan
07_push_filaments_fixed_binders,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
07_push_filaments_fixed_binders,1,1.0,0.016666666666666666,1,0.0041,nan,-0.0011,nan,0.0018,nan,0.004610856753359402,nan
07_push_filaments_fixed_binders,2,2.0,0.03333333333333333,1,0.009,nan,0.0015,nan,0.0008,nan,0.009159148432032313,nan
07_push_filaments_fixed_binders,3,3.0,0.05,1,0.01,nan,0.003,nan,-0.0003,nan,0.010444615837837215,nan
07_push_filaments_fixed_binders,4,4.0,0.06666666666666667,1,0.009,nan,0.0016,nan,0.0011,nan,0.009207062506576134,nan
07_push_filaments_fixed_binders,5,5.0,0.08333333333333333,1,0.0088,nan,-0.0045,nan,0.0031,nan,0.010358571330062847,nan
07_push_filaments_fixed_binders,6,6.0,0.1,1,0.005,nan,-0.0062,nan,-0.001,nan,0.008027452896155791,nan
07_push_filaments_fixed_binders,7,7.0,0.11666666666666667,1,0.0035,nan,-0.0073,nan,-0.0026,nan,0.008502940667792525,nan
07_push_filaments_fixed_binders,8,8.0,0.13333333333333333,1,0.0033,nan,-0.0049,nan,-0.0036,nan,0.0069180922225711905,nan
08_push_filaments_fixed_plus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
08_push_filaments_fixed_plus_motors,1,1.0,0.016666666666666666,1,-0.0038,nan,0.0028,nan,-0.0004,nan,0.004737087712930805,nan
08_push_filaments_fixed_plus_motors,2,2.0,0.03333333333333333,1,-0.0029,nan,0.0035,nan,-0.0028,nan,0.005338539126015656,nan
08_push_filaments_fixed_plus_motors,3,3.0,0.05,1,-0.0022,nan,0.0045,nan,-0.0044,nan,0.006667083320313313,nan
08_push_filaments_fixed_plus_motors,4,4.0,0.06666666666666667,1,-0.0011,nan,0.0012,nan,-0.0076,nan,0.007772387020729217,nan
08_push_filaments_fixed_plus_motors,5,5.0,0.08333333333333333,1,0.0011,nan,0.0002,nan,-0.0105,nan,0.010559356040971439,nan
08_push_filaments_fixed_plus_motors,6,6.0,0.1,1,0.0027,nan,0.0031,nan,-0.0064,nan,0.007606576102294646,nan
08_push_filaments_fixed_plus_motors,7,7.0,0.11666666666666667,1,-0.0009,nan,-0.0006,nan,-0.009,nan,0.009064766957842876,nan
08_push_filaments_fixed_plus_motors,8,8.0,0.13333333333333333,1,-0.0002,nan,-0.0058,nan,-0.0097,nan,0.011303539268742335,nan
