model,group,case,xlink_regime,n_runs_used,mean_vz_abs_mean,mean_vz_abs_sem,std_vz_abs_mean,std_vz_abs_sem,peak_vz_abs_mean,peak_vz_abs_sem,time_to_peak_min_mean,time_to_peak_min_sem,auc_vz_abs_mean,auc_vz_abs_sem,active_transport_fraction_mean,active_transport_fraction_sem,onset_time_min_mean,onset_time_min_sem,net_z_displacement_mean,net_z_displacement_sem,abs_net_z_displacement_mean,abs_net_z_displacement_sem,early_mean_vz_abs_mean,early_mean_vz_abs_sem,mid_mean_vz_abs_mean,mid_mean_vz_abs_sem,late_mean_vz_abs_mean,late_mean_vz_abs_sem
control,control,c0_m0,1:16,10,0.0036323752605557933,0.00010169601832209435,0.003120428803663841,0.00010872976161812147,0.02272109451073337,0.0017735478777596608,4.608333333333333,1.3720315881977156,2.9007437384328965,0.08128363429523552,0.05,0.005106504566617844,3.66,1.7288612180019285,0.09377318469614485,0.044943776945990305,0.1373172481824439,0.030031226887278478,0.003939953419133817,0.00011838091532078392,0.003525757321314773,0.00011010399654650741,0.0034732725857364775,0.0001359214145294963
control,control,c0_m0,1:4,10,0.0036056047648236654,0.00014955203459634316,0.0030296394908873392,0.00013522496147234803,0.020397340622545425,0.0015797701056094351,8.09,1.5356568546744556,2.8802203502225696,0.11955311732418536,0.05,0.0076444424257103285,5.516666666666667,1.9585519972484589,-0.05602751786439231,0.05186984793491408,0.15090248044800347,0.022563131864478787,0.0036348854892488376,0.00015603347442936618,0.003576358757180763,0.00017112305142196228,0.0036124082481771304,0.00015868249281224663
control,control,c0_m0,1:8,10,0.0037256950967266924,0.00016628009262621284,0.003204590211964959,0.00018211182618046399,0.023655365850440525,0.0029510932953628233,6.068333333333333,1.7422694331755286,2.974060674201845,0.13288872927333867,0.05,0.008424501304066741,8.675,2.3778929748834368,0.02313451924878541,0.03643095866457161,0.08670049397121203,0.02348324004949008,0.003711106051558307,0.00011031060965539535,0.0036039807617047857,0.00017310661876460302,0.003878955948457788,0.0002719271535387612
fixed_global_motor_force,c40_m12,uf0p5,1:16,10,0.002341101214939039,8.664862890552655e-05,0.001884132681688434,9.120567806349383e-05,0.010867624190396913,0.0006953302156092237,5.673333333333334,1.417124544741443,1.8656179665465775,0.06931115666677724,0.0055,0.002576604138956718,nan,nan,0.009659043511773805,0.0377301129114403,0.10339039337555797,0.015690678272996018,0.0022660726754697895,9.390116654425314e-05,0.002298275259652692,0.00011506716231487744,0.0024582942644794403,9.261318812002943e-05
fixed_global_motor_force,c40_m12,uf0p5,1:4,10,0.0022532717376447576,0.00010809130038432537,0.001812429140854964,0.00010704855148740486,0.011457681864660296,0.0010574209365617736,4.636666666666667,1.2788541360274703,1.7968851981179217,0.08521014525465806,0.0055,0.0022298480267099415,nan,nan,0.05864569822492986,0.040667952014227016,0.10743997445996874,0.027448761756354637,0.0022565767068193298,0.00012928691209616408,0.0022882134264734107,0.00010410901494545667,0.0022102599463770306,0.00012409144224744345
fixed_global_motor_force,c40_m12,uf0p5,1:8,10,0.0022910685752595577,9.56483780895332e-05,0.001905833589294995,0.00010970777881802946,0.012036942478828815,0.001212772465395216,5.32,1.3403445291379836,1.8246164001613612,0.07531857757885808,0.004000000000000001,0.0011902380714238084,nan,nan,0.019212700078099193,0.03594472738346231,0.0866495439393333,0.02233381894854969,0.0022401825004916796,0.00012619525993544264,0.0023822130877119976,0.00012146189017046762,0.0022329293846451415,8.007483208591473e-05
fixed_global_motor_force,c40_m12,uf1p0,1:16,10,0.002291402754434021,0.000103770984707233,0.0019008255636308023,8.600668433278285e-05,0.011481955275452942,0.0006421766605967524,8.113333333333333,1.4657168641746352,1.8230481745432905,0.0812474763601376,0.006750000000000001,0.0017892425461319905,nan,nan,0.2593818525472643,0.08168937121871843,0.2948764099469544,0.06698692129283543,0.0023970337498452126,7.8736888838442e-05,0.002187651235890369,0.00014020787230383002,0.0023142473294539903,0.0001038372989007436
fixed_global_motor_force,c40_m12,uf1p0,1:4,10,0.0024567800619264687,8.408926772352129e-05,0.0020530227909838126,9.355534407124828e-05,0.012312838186300232,0.0007559973911308502,8.336666666666668,1.3492883355108645,1.955369593659939,0.0663881833721075,0.009000000000000001,0.0029627314724385294,nan,nan,0.2613889020761352,0.049483815397206685,0.27759803955878914,0.038443780653005764,0.002579901781596745,0.00011305213569747778,0.002436592128082184,8.66765731364038e-05,0.002368052622505704,9.820389666336192e-05
fixed_global_motor_force,c40_m12,uf1p0,1:8,10,0.002338490593250765,0.00010328751890376416,0.0018970115569100197,0.00010651623034330947,0.01113966515931378,0.0008034668456065461,6.866666666666667,1.3816790644129469,1.8631256036744896,0.08200996456424435,0.006,0.0020816659994661326,nan,nan,0.2317740021848247,0.039049259998376856,0.2317740021848247,0.039049259998376856,0.0023339971642935883,9.048317713887413e-05,0.002324491233092534,0.00011320630468046364,0.0023586022121029684,0.0001443254647871654
fixed_global_motor_force,c40_m12,uf2p5,1:16,10,0.0028035114007851514,0.00012391445934144922,0.0023348569358823536,0.00010794749054586545,0.013726212014062503,0.0008726411281052591,7.4333333333333345,1.367705115860366,2.236496662778422,0.09889229199914763,0.017,0.0042459130676189985,0.13333333333333333,0.0,0.6983661809403044,0.09725459352460046,0.6983661809403044,0.09725459352460046,0.0029320408189068216,0.0001353157473308479,0.0027134758607462936,0.000125676901755024,0.002789849799635151,0.00016163573539507104
