model,group,case,xlink_regime,run_dir,run_path,n_frames_used,threshold_vz_abs,mean_vz_abs,peak_vz_abs,time_to_peak_min,auc_vz_abs,active_transport_fraction,onset_time_min,net_z_displacement,abs_net_z_displacement,early_mean_vz_abs,mid_mean_vz_abs,late_mean_vz_abs
rotatable,mpc12,c20_m12,1:4,r0025,/home/thekaka/project/cytosim/clu/job12/save/r0025,400,0.009560635356359143,0.004216309905718901,0.023723670440755795,0.23333333333333334,3.352764074670308,0.1025,0.2,0.09704627433953372,0.09704627433953372,0.004884284506027106,0.004310468102137831,0.0035017090896920615
rotatable,mpc12,c20_m12,1:4,r0028,/home/thekaka/project/cytosim/clu/job12/save/r0028,400,0.009560635356359143,0.003732191965563,0.021839867878845176,4.333333333333333,2.973448469637089,0.06,4.2,0.12921940928270081,0.12921940928270081,0.0036794148821015257,0.003971581572538332,0.0035060242700333502
rotatable,mpc12,c20_m12,1:8,r0002,/home/thekaka/project/cytosim/clu/job12/save/r0002,400,0.009853449874497095,0.0032853182372587653,0.01248127808287558,3.033333333333333,2.6242605808204926,0.03,nan,0.3796804792810774,0.3796804792810774,0.00391899379280864,0.0033280755436577093,0.0026607305496994024
rotatable,mpc12,c20_m12,1:8,r0005,/home/thekaka/project/cytosim/clu/job12/save/r0005,400,0.009853449874497095,0.003426715630033188,0.025324149108589822,6.566666666666666,2.7361050810119636,0.0425,nan,-0.291464073473797,0.291464073473797,0.0029304153919885393,0.004205623056545939,0.0029856745182041847
rotatable,mpc12,c20_m12,1:8,r0008,/home/thekaka/project/cytosim/clu/job12/save/r0008,400,0.009853449874497095,0.004080948930049488,0.021591015830564858,4.5,3.2433595999253244,0.0725,2.5,0.7782202545352283,0.7782202545352283,0.0042102447337013975,0.004198281383886419,0.0038291468788272214
rotatable,mpc12,c20_m12,1:8,r0011,/home/thekaka/project/cytosim/clu/job12/save/r0011,400,0.009853449874497095,0.0034705039837933703,0.020059476071411612,12.833333333333334,2.7727705975173125,0.0525,10.3,0.2535028541774781,0.2535028541774781,0.003354949788820167,0.002730039098831068,0.004423333616970136
rotatable,mpc12,c20_m12,1:8,r0014,/home/thekaka/project/cytosim/clu/job12/save/r0014,400,0.009853449874497095,0.0037899626092626993,0.024695586898976662,1.1666666666666667,3.027397722883973,0.0625,1.0,-0.4352985752062198,0.4352985752062198,0.004937025369896842,0.0031011673712955773,0.0035366711373512904
rotatable,mpc12,c20_m12,1:8,r0017,/home/thekaka/project/cytosim/clu/job12/save/r0017,400,0.009853449874497095,0.003642950258909711,0.016895729655876497,7.7,2.900006140142122,0.0375,nan,0.3910154173312058,0.3910154173312058,0.004038350603513313,0.0033037703229627582,0.0036721437656594383
rotatable,mpc12,c20_m12,1:8,r0020,/home/thekaka/project/cytosim/clu/job12/save/r0020,400,0.009853449874497095,0.0036797693782470615,0.019721269318828408,0.9666666666666667,2.9311324876570395,0.055,0.9333333333333333,-0.16666486296087618,0.16666486296087618,0.004344505589661774,0.002987893976097066,0.00386814877644667
rotatable,mpc12,c20_m12,1:8,r0023,/home/thekaka/project/cytosim/clu/job12/save/r0023,400,0.009853449874497095,0.003903587935807386,0.018678328318373946,7.0,3.1185687292127113,0.0725,3.8666666666666667,-0.17130566801619412,0.17130566801619412,0.00431380916675,0.0036787354401337335,0.003788408911905682
rotatable,mpc12,c20_m12,1:8,r0026,/home/thekaka/project/cytosim/clu/job12/save/r0026,400,0.009853449874497095,0.003948437301446201,0.021268466632705166,0.8,3.1506337791266272,0.0625,0.7333333333333333,0.6696383087111553,0.6696383087111553,0.004591051014684977,0.0039916396771436935,0.0033152205974001105
rotatable,mpc12,c20_m12,1:8,r0029,/home/thekaka/project/cytosim/clu/job12/save/r0029,400,0.009853449874497095,0.0038613535472933292,0.029466666666666766,6.1,3.0734911533996954,0.075,1.7,0.6871002132196161,0.6871002132196161,0.0035263694493232515,0.004067772475238443,0.003929294527954947
rotatable,mpc12,c20_m12,1:16,r0003,/home/thekaka/project/cytosim/clu/job12/save/r0003,400,0.009608760109627612,0.003758570350805049,0.017493638676844822,7.066666666666666,2.9979504282267375,0.07,2.933333333333333,-0.5819338422391849,0.5819338422391849,0.0033506173104026495,0.0048648575234237134,0.0028624126096988343
rotatable,mpc12,c20_m12,1:16,r0006,/home/thekaka/project/cytosim/clu/job12/save/r0006,400,0.009608760109627612,0.003106317691394027,0.014007470651013737,2.4,2.4720246021349093,0.035,2.3666666666666667,0.37513340448239096,0.37513340448239096,0.004319429414100896,0.0027326083669847825,0.002432242146808295
rotatable,mpc12,c20_m12,1:16,r0009,/home/thekaka/project/cytosim/clu/job12/save/r0009,400,0.009608760109627612,0.0037278879073304404,0.01733576642335763,1.4,2.9750525320074024,0.0675,1.3666666666666667,-0.6736183524504686,0.6736183524504686,0.004135200737366338,0.004043044198325031,0.0029970201941742556
rotatable,mpc12,c20_m12,1:16,r0012,/home/thekaka/project/cytosim/clu/job12/save/r0012,400,0.009608760109627612,0.004205196389397646,0.0373411016949151,5.633333333333334,3.3592577471113376,0.0925,3.4,-0.9184322033898309,0.9184322033898309,0.0046057487810812455,0.004286789924327453,0.0037479081081013134
rotatable,mpc12,c20_m12,1:16,r0015,/home/thekaka/project/cytosim/clu/job12/save/r0015,400,0.009608760109627612,0.00320846507956596,0.018031232649834836,13.166666666666666,2.5519291836116134,0.04,3.3333333333333335,-0.631795697002205,0.631795697002205,0.003298832682221037,0.0033986145492901614,0.002908647024798141
rotatable,mpc12,c20_m12,1:16,r0018,/home/thekaka/project/cytosim/clu/job12/save/r0018,400,0.009608760109627612,0.0034829368680155555,0.022108290565102003,0.26666666666666666,2.7771751824858386,0.0425,0.7,0.5310907237512742,0.5310907237512742,0.0043015738730305545,0.003473615990926025,0.002749962272341087
rotatable,mpc12,c20_m12,1:16,r0021,/home/thekaka/project/cytosim/clu/job12/save/r0021,400,0.009608760109627612,0.003427156957743667,0.018902123252200906,1.3,2.7366763688878386,0.0475,1.2333333333333334,0.11962713619886145,0.11962713619886145,0.003062097464864995,0.003850648321353543,0.003273862111263366
rotatable,mpc12,c20_m12,1:16,r0024,/home/thekaka/project/cytosim/clu/job12/save/r0024,400,0.009608760109627612,0.0028503210397768397,0.01694356540084411,0.36666666666666664,2.276696705239193,0.015,nan,-0.7916666666666671,0.7916666666666671,0.003155740895937559,0.0025815548992999325,0.00288062606411585
