model,group,case,xlink_regime,n_runs_used,mean_vz_abs_mean,mean_vz_abs_sem,peak_vz_abs_mean,peak_vz_abs_sem,time_to_peak_min_mean,time_to_peak_min_sem,auc_vz_abs_mean,auc_vz_abs_sem,active_transport_fraction_mean,active_transport_fraction_sem,onset_time_min_mean,onset_time_min_sem,net_z_displacement_mean,net_z_displacement_sem,abs_net_z_displacement_mean,abs_net_z_displacement_sem,early_mean_vz_abs_mean,early_mean_vz_abs_sem,mid_mean_vz_abs_mean,mid_mean_vz_abs_sem,late_mean_vz_abs_mean,late_mean_vz_abs_sem
control,control,c0_m0,1:16,10,0.0036323752605557933,0.00010169601832209435,0.02272109451073337,0.0017735478777596608,4.608333333333333,1.3720315881977156,2.9007437384328965,0.08128363429523552,0.05,0.005106504566617844,3.66,1.7288612180019285,0.09377318469614485,0.044943776945990305,0.1373172481824439,0.030031226887278478,0.003939953419133817,0.00011838091532078392,0.003525757321314773,0.00011010399654650741,0.0034732725857364775,0.0001359214145294963
control,control,c0_m0,1:4,10,0.0036056047648236654,0.00014955203459634316,0.020397340622545425,0.0015797701056094351,8.09,1.5356568546744556,2.8802203502225696,0.11955311732418536,0.05,0.0076444424257103285,5.516666666666667,1.9585519972484589,-0.05602751786439231,0.05186984793491408,0.15090248044800347,0.022563131864478787,0.0036348854892488376,0.00015603347442936618,0.003576358757180763,0.00017112305142196228,0.0036124082481771304,0.00015868249281224663
control,control,c0_m0,1:8,10,0.0037256950967266924,0.00016628009262621284,0.023655365850440525,0.0029510932953628233,6.068333333333333,1.7422694331755286,2.974060674201845,0.13288872927333867,0.05,0.008424501304066741,8.675,2.3778929748834368,0.02313451924878541,0.03643095866457161,0.08670049397121203,0.02348324004949008,0.003711106051558307,0.00011031060965539535,0.0036039807617047857,0.00017310661876460302,0.003878955948457788,0.0002719271535387612
fixed_global,mpc12,c10_m12,1:16,10,0.002152222074167356,3.4580457641775405e-05,0.010703504714652154,0.0004176442296093339,6.953333333333333,1.4072229898668784,1.7135572684220517,0.02838046448061616,0.0032499999999999994,0.0009895285072531596,nan,nan,0.164647359746593,0.050706589578687844,0.19582355239518517,0.036365908087364285,0.0022282866818169535,8.042335433878635e-05,0.0021540424359088378,7.027468659018186e-05,0.0020810408331633527,6.336587908283085e-05
fixed_global,mpc12,c10_m12,1:4,10,0.0027991506214691615,6.25831438043982e-05,0.01389429987894531,0.0008925051492067816,4.326666666666666,1.013511192968092,2.2281359965348835,0.05010214919434104,0.015000000000000003,0.0017480147469502527,nan,nan,0.141336235354981,0.063074383450972,0.18903337077510715,0.0471966533502838,0.0029154653846572864,0.00012551919178321137,0.0027729513749822003,7.857611127051053e-05,0.0027234897829474607,8.978002184343414e-05
fixed_global,mpc12,c10_m12,1:8,10,0.002450032227797377,6.67339039726176e-05,0.011983586501476112,0.000628082323643204,9.043333333333335,1.3813309917040069,1.951763107767968,0.053433158908281084,0.006,0.0009279607271383369,nan,nan,0.19328746378301892,0.040527054931093945,0.20180653013576344,0.035615458071408326,0.0023148144819442823,8.917644613759527e-05,0.00246216464489448,9.131145467763531e-05,0.0025589715346061755,8.69035458650747e-05
fixed_global,mpc12,c20_m12,1:16,10,0.0022446594920671518,6.978810816001267e-05,0.01172040403607415,0.0008759155125605405,6.303333333333333,1.0556660760853929,1.7880460550901571,0.05611620453979358,0.006,0.001632993161855452,nan,nan,0.2836278302720536,0.05991255738591418,0.29063619847289035,0.05605649633751813,0.002333378843550118,0.00010839203380530185,0.0023091393661210415,0.0001160539485487786,0.0020902351872232106,6.051765222345584e-05
fixed_global,mpc12,c20_m12,1:4,10,0.002830974239876532,7.479675962910364e-05,0.014226998361484977,0.0008541523309681849,6.466666666666667,1.0765399535572,2.259063656134736,0.0604774677791402,0.02025,0.003641008712492247,8.666666666666666,0.0,0.424143586816977,0.07319342063411313,0.424143586816977,0.07319342063411313,0.002934170159833599,9.658857780526969e-05,0.002873016353475049,8.697684215708608e-05,0.0026890915565584515,9.943054352208909e-05
fixed_global,mpc12,c20_m12,1:8,10,0.0026395761875081226,4.752721843960663e-05,0.013207688386168998,0.0007292972187818892,5.82,1.398236985159049,2.1055930338526325,0.037902600333312046,0.0155,0.0031358146203711293,4.1000000000000005,2.0916057981404657,0.32841199234063706,0.09570928752919551,0.37240899269476174,0.0757249323005717,0.0027815357296350155,0.00010584640229373096,0.0025946569636559873,8.229074128927951e-05,0.0025620547986891905,0.00010143813626668026
fixed_global,mpc12,c40_m12,1:16,9,0.002449477391497352,8.306256819243524e-05,0.012595746398227092,0.0008670789385074487,3.8740740740740742,1.6344174196891272,1.9515059646151183,0.06575410664468186,0.009444444444444443,0.0024922720062397724,6.666666666666667,4.233333333333334,0.5599875239351814,0.12303492090649178,0.5599875239351814,0.12303492090649178,0.0026686249822896165,0.00017088950417211925,0.002402469687997854,7.584626897968886e-05,0.0023042300038686914,9.98223603538132e-05
